input	output	language
Mu bino mwalimu akasanduuko akakolebwa mu langi enzirugavu Hendrix ke yakozesanga okuteeka eddagala lye , omuguzi wa Australia ataategeerekeka ke yagula paawundi 5,060 ( doola 7,845 ) .	Mu_O bino_O mwalimu_O akasanduuko_O akakolebwa_O mu_O langi_O enzirugavu_O Hendrix_B-PER ke_O yakozesanga_O okuteeka_O eddagala_O lye_O ,_O omuguzi_O wa_O Australia_O ataategeerekeka_O ke_O yagula_O paawundi_O 5,060_O (_O doola_O 7,845_O )_O ._O	lug
Omuyimbi w 'eggaali y 'omupiira yafa olw 'okunywa ennyo eddagala mu 1970 ng 'alina emyaka 27 egy 'obukulu .	Omuyimbi_O w_O 'eggaali_O y_O 'omupiira_O yafa_O olw_O 'okunywa_O ennyo_O eddagala_O mu_O 1970_O ng_O 'alina_O emyaka_O 27_O egy_O 'obukulu_O ._O	lug
China egamba nti Taiwan eyonoona embeera y 'okukubaganya ebirowoozo .	China_B-LOC egamba_O nti_O Taiwan_B-LOC eyonoona_O embeera_O y_O 'okukubaganya_O ebirowoozo_O ._O	lug
BEIJING 1996-08-22 bye bye bye bye bye	BEIJING_B-LOC 1996-08-22_O bye_O bye_O bye_O bye_O bye_O	lug
China ku Lwokuna yalumiriza Taipei okwonoona embeera ey 'okuddamu okukubaganya ebirowoozo ku nkalu ya Taiwan n 'okukyala kwa Lien Chan omumyuka wa Pulezidenti wa Taiwan mu Ukraine wiiki eno ekyayisa Beijing ekiruyi .	China_B-LOC ku_O Lwokuna_O yalumiriza_O Taipei_B-LOC okwonoona_O embeera_O ey_O 'okuddamu_O okukubaganya_O ebirowoozo_O ku_O nkalu_B-LOC ya_I-LOC Taiwan_I-LOC n_O 'okukyala_O kwa_O Lien_B-PER Chan_I-PER omumyuka_O wa_O Pulezidenti_O wa_O Taiwan_O mu_O Ukraine_B-LOC wiiki_O eno_O ekyayisa_O Beijing_B-LOC ekiruyi_O ._O	lug
Emikutu gy 'amawulire egya gavumenti gikubye omwogezi wa China omukulu ne Taipei , Tang Shubei , ng 'ategeeza ekibinja ky 'abagenyi okuva e Taiwan ku Lwokusatu nti ekiseera kituuse bannabyabufuzi okuteesa .	Emikutu_O gy_O 'amawulire_O egya_O gavumenti_O gikubye_O omwogezi_O wa_O China_B-LOC omukulu_O ne_O Taipei_B-LOC ,_O Tang_B-PER Shubei_I-PER ,_O ng_O 'ategeeza_O ekibinja_O ky_O 'abagenyi_O okuva_O e_O Taiwan_B-LOC ku_O Lwokusatu_O nti_O ekiseera_O kituuse_O bannabyabufuzi_O okuteesa_O ._O	lug
" Kati kye kiseera ebibiina byombi okwetaba mu mboozi z 'ebyobufuzi ...	"_O Kati_O kye_O kiseera_O ebibiina_O byombi_O okwetaba_O mu_O mboozi_O z_O 'ebyobufuzi_O ..._O	lug
ekirina okukomya embeera y 'obulabe , " Olupapula lw 'amawulire olwa People 's Daily olw 'ebweru w 'eggwanga ku Lwokuna lwe lwajuliza Tang ng 'agamba .	ekirina_O okukomya_O embeera_O y_O 'obulabe_O ,_O "_O Olupapula_O lw_O 'amawulire_O olwa_O People_B-ORG 's_I-ORG Daily_I-ORG olw_O 'ebweru_O w_O 'eggwanga_O ku_O Lwokuna_O lwe_O lwajuliza_O Tang_B-PER ng_O 'agamba_O ._O	lug
China , ebadde emala ebbanga ddene ng 'ewakanya buli kaweefube wa Taipei okufuna ettutumu mu mawanga amalala , yanyiize nnyo olw 'okukyala kwa Lien omumyuka wa Pulezidenti wa Taiwan mu Ukraine wiiki eno .	China_B-LOC ,_O ebadde_O emala_O ebbanga_O ddene_O ng_O 'ewakanya_O buli_O kaweefube_O wa_O Taipei_B-LOC okufuna_O ettutumu_O mu_O mawanga_O amalala_O ,_O yanyiize_O nnyo_O olw_O 'okukyala_O kwa_O Lien_B-PER omumyuka_O wa_O Pulezidenti_O wa_O Taiwan_O mu_O Ukraine_B-LOC wiiki_O eno_O ._O	lug
China egamba nti kino kye kiseera ekituufu okwogerako ne Taiwan .	China_B-LOC egamba_O nti_O kino_O kye_O kiseera_O ekituufu_O okwogerako_O ne_O Taiwan_B-LOC ._O	lug
BEIJING 1996-08-22 bye bye bye bye bye	BEIJING_B-LOC 1996-08-22_O bye_O bye_O bye_O bye_O bye_O	lug
China yagambye nti ekiseera kituuse okuteesa ku by 'obufuzi ne Taiwan era nti ekizinga kino kirina okubaako kye kikola okusobola okutuuka ku kiruubirirwa ekyo .	China_B-LOC yagambye_O nti_O ekiseera_O kituuse_O okuteesa_O ku_O by_O 'obufuzi_O ne_O Taiwan_B-LOC era_O nti_O ekizinga_O kino_O kirina_O okubaako_O kye_O kikola_O okusobola_O okutuuka_O ku_O kiruubirirwa_O ekyo_O ._O	lug
Okuwandiisibwa kw 'emmotoka mu Bugirimaani mu July kweyongedde ebitundu 14.2 pct omwaka ku mwaka .	Okuwandiisibwa_O kw_O 'emmotoka_O mu_O Bugirimaani_O mu_O July_O kweyongedde_O ebitundu_O 14.2_O pct_O omwaka_O ku_O mwaka_O ._O	lug
FRANKFURT 1996-08-22 bye bye bye bye bye bye	FRANKFURT_B-LOC 1996-08-22_O bye_O bye_O bye_O bye_O bye_O bye_O	lug
Ofiisi egamba nti emmotoka empya 356,725 ze zaayisibwa mu July wa 1996 - emmotoka z 'abantu 304,850 n 'emmotoka z 'ebidduka 15,613 .	Ofiisi_O egamba_O nti_O emmotoka_O empya_O 356,725_O ze_O zaayisibwa_O mu_O July_O wa_O 1996_O -_O emmotoka_O z_O 'abantu_O 304,850_O n_O 'emmotoka_O z_O 'ebidduka_O 15,613_O ._O	lug
Omuwendo guno gulaga okweyongera kwa 13.6 ku buli kikumi mu mmotoka z 'abantu n 'okukendeera kwa 2.2 ku buli kikumi mu mmotoka z 'ebidduka okuva mu Jjulaayi 1995 .	Omuwendo_O guno_O gulaga_O okweyongera_O kwa_O 13.6_O ku_O buli_O kikumi_O mu_O mmotoka_O z_O 'abantu_O n_O 'okukendeera_O kwa_O 2.2_O ku_O buli_O kikumi_O mu_O mmotoka_O z_O 'ebidduka_O okuva_O mu_O Jjulaayi_O 1995_O ._O	lug
Okuwandiisa pikipiki kweyongedde ebitundu 32.7 ku kikumi mu kiseera kino .	Okuwandiisa_O pikipiki_O kweyongedde_O ebitundu_O 32.7_O ku_O kikumi_O mu_O kiseera_O kino_O ._O	lug
Okweyongerayongera kwava ku muwendo gw 'Abagirimaani abagula emmotoka z 'Abagirimaani ebweru w 'eggwanga , ng 'ate abakola emmotoka bagamba nti obwetaavu bw 'ebweru w 'eggwanga bunafu , ofiisi y 'obwannakyewa bw 'egambye .	Okweyongerayongera_O kwava_O ku_O muwendo_O gw_O 'Abagirimaani_O abagula_O emmotoka_O z_O 'Abagirimaani_O ebweru_O w_O 'eggwanga_O ,_O ng_O 'ate_O abakola_O emmotoka_O bagamba_O nti_O obwetaavu_O bw_O 'ebweru_O w_O 'eggwanga_O bunafu_O ,_O ofiisi_O y_O 'obwannakyewa_O bw_O 'egambye_O ._O	lug
Kumpi abazimbi b 'emmotoka bonna mu Bugirimaani beeyongedde ku muwendo gw 'emmotoka ezaayisibwa mu kiseera kino .	Kumpi_O abazimbi_O b_O 'emmotoka_O bonna_O mu_O Bugirimaani_O beeyongedde_O ku_O muwendo_O gw_O 'emmotoka_O ezaayisibwa_O mu_O kiseera_O kino_O ._O	lug
Volkswagen AG yawangula ebiwandiiko 77,719 , ebitundu ebisoba mu kimu kya kuna ku byonna .	Volkswagen_B-ORG AG_I-ORG yawangula_O ebiwandiiko_O 77,719_O ,_O ebitundu_O ebisoba_O mu_O kimu_O kya_O kuna_O ku_O byonna_O ._O	lug
Opel AG awamu ne General Motors baatuuse mu kifo eky 'okubiri n 'ebiwandiiko 49,269 , 16.4 ku buli kikumi ku muwendo gwonna .	Opel_B-ORG AG_I-ORG awamu_O ne_O General_B-ORG Motors_I-ORG baatuuse_O mu_O kifo_O eky_O 'okubiri_O n_O 'ebiwandiiko_O 49,269_O ,_O 16.4_O ku_O buli_O kikumi_O ku_O muwendo_O gwonna_O ._O	lug
Ey 'okusatu ye Ford ng 'erina ebiwandiiko 35,563 oba 11.7 ku buli kikumi .	Ey_O 'okusatu_O ye_O Ford_B-ORG ng_O 'erina_O ebiwandiiko_O 35,563_O oba_O 11.7_O ku_O buli_O kikumi_O ._O	lug
Seat ne Porsche be bokka abaalina obuwandiike obutonotono mu Jjulaayi 1996 bw 'ogeraageranya ne Jjulaayi w 'omwaka oguwedde .	Seat_B-ORG ne_O Porsche_B-ORG be_O bokka_O abaalina_O obuwandiike_O obutonotono_O mu_O Jjulaayi_O 1996_O bw_O 'ogeraageranya_O ne_O Jjulaayi_O w_O 'omwaka_O oguwedde_O ._O	lug
Seat yafulumya ebiwandiiko 3,420 okwawukanako n 'ebiwandiiko 5522 mu July omwaka ogwayita .	Seat_B-ORG yafulumya_O ebiwandiiko_O 3,420_O okwawukanako_O n_O 'ebiwandiiko_O 5522_O mu_O July_O omwaka_O ogwayita_O ._O	lug
Ebiwandiiko bya Porsche bikendedde ku 554 okuva ku 643 .	Ebiwandiiko_O bya_O Porsche_B-ORG bikendedde_O ku_O 554_O okuva_O ku_O 643_O ._O	lug
ABAGREEKE ABASOSALIISITIFU BAWADDE OMUWALA OGWEKIRIZIBWA eri omukulembeze w 'eggwanga mu kulonda .	ABAGREEKE_O ABASOSALIISITIFU_O BAWADDE_O OMUWALA_O OGWEKIRIZIBWA_O eri_O omukulembeze_O w_O 'eggwanga_O mu_O kulonda_O ._O	lug
ATHENS 1996-08-22 bye bye bye bye bye	ATHENS_B-LOC 1996-08-22_O bye_O bye_O bye_O bye_O bye_O	lug
Akakiiko akafuzi ak 'ekibiina kya Socialist mu Buyonaani kakkirizza Ssaabaminisita Costas Simitis okuyita okulonda okw 'amangu , omuwandiisi waakyo omukulu Costas Skandalidis bwe yategeezezza bannamawulire .	Akakiiko_O akafuzi_O ak_O 'ekibiina_O kya_O Socialist_O mu_O Buyonaani_O kakkirizza_O Ssaabaminisita_O Costas_B-PER Simitis_I-PER okuyita_O okulonda_O okw_O 'amangu_O ,_O omuwandiisi_O waakyo_O omukulu_O Costas_B-PER Skandalidis_I-PER bwe_O yategeezezza_O bannamawulire_O ._O	lug
Ssaabaminisita Costas Simitis agenda kukola ekirango mu butongole oluvannyuma lw' olukiiko lwa baminisita ku Lwokuna , Skandalidis bwe yagambye .	Ssaabaminisita_O Costas_B-PER Simitis_I-PER agenda_O kukola_O ekirango_O mu_O butongole_O oluvannyuma_O lw'_O olukiiko_O lwa_O baminisita_O ku_O Lwokuna_O ,_O Skandalidis_B-PER bwe_O yagambye_O ._O	lug
-- Dimitris Kontogiannis , Athens Newsroom + 301 3311812-4	--_O Dimitris_B-PER Kontogiannis_I-PER ,_O Athens_B-ORG Newsroom_I-ORG +_O 301_O 3311812-4_O	lug
BayerVB etaddewo obukadde 100 obwa C $ mu bbaasi ya myaka mukaaga .	BayerVB_B-ORG etaddewo_O obukadde_O 100_O obwa_O C_O $_O mu_O bbaasi_O ya_O myaka_O mukaaga_O ._O	lug
Ekiwandiiko ekiddako kyalangiriddwa maneja omukulu owa Toronto Dominion .	Ekiwandiiko_O ekiddako_O kyalangiriddwa_O maneja_O omukulu_O owa_O Toronto_B-PER Dominion_I-PER ._O	lug
BORROWER BAYERISCHE VEREINSBANK Ensimbi z 'ebyenfuna	BORROWER_O BAYERISCHE_B-ORG VEREINSBANK_I-ORG Ensimbi_O z_O 'ebyenfuna_O	lug
AMT C $ 100 MLN COUPON 6.625 MATURITY 24.SEP.02	AMT_O C_O $_O 100_O MLN_O COUPON_O 6.625_O MATURITY_O 24.SEP.02_O	lug
TYPE STRAIGHT ISS PRICE 100.92 DATE Y 'okusasula 24.SEP.96	TYPE_O STRAIGHT_O ISS_O PRICE_O 100.92_O DATE_O Y_O 'okusasula_O 24.SEP.96_O	lug
Emisolo gyonna 1.875 REOFFER 99.32 SPREAD + 20 BP	Emisolo_O gyonna_O 1.875_O REOFFER_O 99.32_O SPREAD_O +_O 20_O BP_O	lug
MOODY AA1 LISTING LUX PAY FREQ = bye bye bye	MOODY_O AA1_O LISTING_O LUX_O PAY_O FREQ_O =_O bye_O bye_O bye_O	lug
S & P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA	S_B-ORG &_I-ORG P_I-ORG =_O DENOMS_O (_O K_O )_O 1-10-100_O SALE_O LIMITS_O US_B-LOC /_O UK_B-LOC /_O CA_B-LOC	lug
NEG PLG NO CRS DEFLT NO FORCE MAJ = bye bye bye bye bye	NEG_O PLG_O NO_O CRS_O DEFLT_O NO_O FORCE_O MAJ_O =_O bye_O bye_O bye_O bye_O bye_O	lug
Gavumenti Etteeka ly 'Abagirimaani Home CTRY = TAX PROVS STANDARD	Gavumenti_O Etteeka_O ly_O 'Abagirimaani_O Home_O CTRY_O =_O TAX_O PROVS_O STANDARD_O	lug
MGT / UND 0.275 SELL CONC 1.60 PRAECIP =	MGT_O /_O UND_O 0.275_O SELL_O CONC_O 1.60_O PRAECIP_O =_O	lug
BONDI YA GAVUMENTI 7.0 PCT SEPT 2001 BONDI eya GAVUMENTI 7.0 PCT	BONDI_O YA_O GAVUMENTI_O 7.0_O PCT_O SEPT_O 2001_O BONDI_O eya_O GAVUMENTI_O 7.0_O PCT_O	lug
OKUJJUKIZA BAYERISCHE VEREINSBANK ye maneja omukulu ow 'omukago	OKUJJUKIZA_O BAYERISCHE_B-ORG VEREINSBANK_I-ORG ye_O maneja_O omukulu_O ow_O 'omukago_O	lug
-- Ekizimbe ky 'amawulire mu London + 44 171 542 7658	--_O Ekizimbe_B-ORG ky_I-ORG 'amawulire_I-ORG mu_I-ORG London_I-ORG +_O 44_O 171_O 542_O 7658_O	lug
Venantius ataddewo obukadde 300 eza 1999 FRN .	Venantius_B-ORG ataddewo_O obukadde_O 300_O eza_O 1999_O FRN_O ._O	lug
Okufulumya kuno okw 'ebbeeyi eya waggulu kwalangirirwa maneja omukulu Lehman Brothers International .	Okufulumya_O kuno_O okw_O 'ebbeeyi_O eya_O waggulu_O kwalangirirwa_O maneja_O omukulu_O Lehman_B-ORG Brothers_I-ORG International_I-ORG ._O	lug
BORROWER VENANTIUS AB ( SWEEDISH NATIONAL MORTGAGE AGENCY ) ( Ekitongole ky 'obupangisa eky 'eggwanga ekya Sweden )	BORROWER_O VENANTIUS_B-ORG AB_I-ORG (_O SWEEDISH_O NATIONAL_O MORTGAGE_O AGENCY_O )_O (_O Ekitongole_O ky_O 'obupangisa_O eky_O 'eggwanga_O ekya_O Sweden_O )_O	lug
AMT $ 300 MLN SPREAD - 12.5 BP MATURITY 21.JAN.99	AMT_O $_O 300_O MLN_O SPREAD_O -_O 12.5_O BP_O MATURITY_O 21.JAN.99_O	lug
TYPE FRN BASE 3M LIBOR DATE Y 'okusasula S23.SEP.96	TYPE_O FRN_O BASE_O 3M_B-ORG LIBOR_O DATE_O Y_O 'okusasula_O S23.SEP.96_O	lug
LAST MOODY AA3 ISS EMBEERA 99.956 EMBEERA ZONNA 10 BP	LAST_O MOODY_O AA3_O ISS_O EMBEERA_O 99.956_O EMBEERA_O ZONNA_O 10_O BP_O	lug
OKUSOOKERA S & P AA + REOFFER =	OKUSOOKERA_O S_B-ORG &_I-ORG P_I-ORG AA_O +_O REOFFER_O =_O	lug
EKY 'OKUJUKIRAKO KITONDO KITONDO KITONDO KITONDO KITONDO KITONDO KITONDO KITONDO	EKY_O 'OKUJUKIRAKO_O KITONDO_O KITONDO_O KITONDO_O KITONDO_O KITONDO_O KITONDO_O KITONDO_O KITONDO_O	lug
LISTING LONDON DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / JP / FR	LISTING_O LONDON_B-LOC DENOMS_O (_O K_O )_O 1-10-100_O SALE_O LIMITS_O US_B-LOC /_O UK_B-LOC /_O JP_B-LOC /_O FR_B-LOC	lug
NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2 NEG PLG YES CRS DEFLT NO FORCE MAJ IPMA 2	NEG_O PLG_O YES_O CRS_O DEFLT_O NO_O FORCE_O MAJ_O IPMA_O 2_O NEG_O PLG_O YES_O CRS_O DEFLT_O NO_O FORCE_O MAJ_O IPMA_O 2_O	lug
Gav 't LAW ENGLISH HOME CTRY SWEDEN TAX PROVS STANDARD	Gav_O 't_O LAW_O ENGLISH_O HOME_O CTRY_O SWEDEN_B-LOC TAX_O PROVS_O STANDARD_O	lug
MGT / UND 5 BP SELL CONC 5 BP PRAECIP =	MGT_O /_O UND_O 5_O BP_O SELL_O CONC_O 5_O BP_O PRAECIP_O =_O	lug
EBIWANDIIKIBWA KU EMTN PROGRAMME	EBIWANDIIKIBWA_O KU_O EMTN_O PROGRAMME_O	lug
-- Ekizimbe ky 'amawulire mu London + 44 171 542 8863	--_O Ekizimbe_B-ORG ky_I-ORG 'amawulire_I-ORG mu_I-ORG London_I-ORG +_O 44_O 171_O 542_O 8863_O	lug
Embeera mu mwalo - Syria - Lloyds Shipping .	Embeera_O mu_O mwalo_O -_O Syria_B-LOC -_O Lloyds_B-ORG Shipping_I-ORG ._O	lug
Embeera mu mwalo okuva mu kitongole kya Lloyds Shipping Intelligence Service ...	Embeera_O mu_O mwalo_O okuva_O mu_O kitongole_O kya_O Lloyds_B-ORG Shipping_I-ORG Intelligence_I-ORG Service_I-ORG ..._O	lug
LATTAKIA , Aug 10 - obudde bw 'okulinda mu Lattakia ne Tartous mu kiseera kino bwa ssaawa 24 .	LATTAKIA_B-LOC ,_O Aug_O 10_O -_O obudde_O bw_O 'okulinda_O mu_O Lattakia_B-LOC ne_O Tartous_B-LOC mu_O kiseera_O kino_O bwa_O ssaawa_O 24_O ._O	lug
Yisirayiri esambajja okutya entalo ne Syria .	Yisirayiri_B-LOC esambajja_O okutya_O entalo_O ne_O Syria_B-LOC ._O	lug
Colleen Siegel	Colleen_B-PER Siegel_I-PER	lug
YERUSALEMU 1996-08-22	YERUSALEMU_B-LOC 1996-08-22_O	lug
Omuteesiteesi wa Isirayiri ow 'emirembe ne Syria yagamba ku Lwokuna nti ebizibu ebiriwo kati wakati w 'amawanga gombi birabika ng 'omuyaga oguli mu kikopo ky' caayi .	Omuteesiteesi_O wa_O Isirayiri_B-LOC ow_O 'emirembe_O ne_O Syria_B-LOC yagamba_O ku_O Lwokuna_O nti_O ebizibu_O ebiriwo_O kati_O wakati_O w_O 'amawanga_O gombi_O birabika_O ng_O 'omuyaga_O oguli_O mu_O kikopo_O ky'_O caayi_O ._O	lug
Itamar Rabinovich , eyali omubaka wa Isirayiri e Washington eyakulemberamu emboozi ezitaliimu bibala ne Syria , yategeezezza leediyo ya Isirayiri nti kirabika Damascus yali ayagala kwogera mu kifo ky 'okulwana .	Itamar_B-PER Rabinovich_I-PER ,_O eyali_O omubaka_O wa_O Isirayiri_B-LOC e_O Washington_B-LOC eyakulemberamu_O emboozi_O ezitaliimu_O bibala_O ne_O Syria_B-LOC ,_O yategeezezza_O leediyo_B-ORG ya_I-ORG Isirayiri_I-ORG nti_O kirabika_O Damascus_B-LOC yali_O ayagala_O kwogera_O mu_O kifo_O ky_O 'okulwana_O ._O	lug
" Kirabika gye ndi obukulembeze bwa Syria bukyali okuteesa .	"_O Kirabika_O gye_O ndi_O obukulembeze_O bwa_O Syria_O bukyali_O okuteesa_O ._O	lug
Abasiraamu beeraliikirivu , beeraliikirivu ddala , naye okutunuulira kwa bonna wano mu Washington nti kino kibeera kibuyaga mu kikopo kya caayi , " bwatyo bwe yagambye .	Abasiraamu_O beeraliikirivu_O ,_O beeraliikirivu_O ddala_O ,_O naye_O okutunuulira_O kwa_O bonna_O wano_O mu_O Washington_B-LOC nti_O kino_O kibeera_O kibuyaga_O mu_O kikopo_O kya_O caayi_O ,_O "_O bwatyo_O bwe_O yagambye_O ._O	lug
Rabinovich akomekkereza ekiseera kye ng 'omubaka .	Rabinovich_B-PER akomekkereza_O ekiseera_O kye_O ng_O 'omubaka_O ._O	lug
