input	output	language
Mu mwaka ushize , u Budage bwinjije mu Bwongereza intama zigera ku 47.600 , ni ukuvuga hafi kimwe cya kabiri cy' izinjizwaga mu Bwongereza zose .	Mu_O mwaka_O ushize_O ,_O u_B-LOC Budage_I-LOC bwinjije_O mu_B-LOC Bwongereza_I-LOC intama_O zigera_O ku_O 47.600_O ,_O ni_O ukuvuga_O hafi_O kimwe_O cya_O kabiri_O cy'_O izinjizwaga_O mu_O Bwongereza_O zose_O ._O	kin
Yinjije toni 4,275 z 'inyama z 'intama z 'Abongereza , ni ukuvuga hafi 10 ku ijana by 'inyama zose zoherejwe mu Bwongereza .	Yinjije_O toni_O 4,275_O z_O 'inyama_O z_O 'intama_O z_O 'Abongereza_O ,_O ni_O ukuvuga_O hafi_O 10_O ku_O ijana_O by_O 'inyama_O zose_O zoherejwe_O mu_O Bwongereza_O ._O	kin
Indirimbo idasanzwe ya Hendrix igura amadolari hafi 17.000 .	Indirimbo_O idasanzwe_O ya_O Hendrix_B-PER igura_O amadolari_O hafi_O 17.000_O ._O	kin
LONDON 1996-08-22 ( mu Gifaransa )	LONDON_B-LOC 1996-08-22_O (_O mu_O Gifaransa_O )_O	kin
Hari resitora yo muri leta ya Florida yishyuye amapawundi 10.925 ( amadolari 16.935 ) , kugira ngo Hendrix yandikire ku mpapuro zo muri hoteli y 'i Londres mu mpera z 'umwaka wa 1966 amagambo agira ati " Ai n' t no telling " .	Hari_O resitora_O yo_O muri_O leta_O ya_O Florida_B-LOC yishyuye_O amapawundi_O 10.925_O (_O amadolari_O 16.935_O )_O ,_O kugira_O ngo_O Hendrix_B-PER yandikire_O ku_O mpapuro_O zo_O muri_O hoteli_O y_O 'i_O Londres_B-LOC mu_O mpera_O z_O 'umwaka_O wa_O 1966_O amagambo_O agira_O ati_O "_O Ai_O n'_O t_O no_O telling_O "_O ._O	kin
Mu mpera z 'igitaramo cyabaye muri Mutarama 1967 mu mujyi wo mu Bwongereza wa Nottingham , yajugunye ako gapapuro mu bantu bari bateranye , aho kagaruwe n' umwe mu bafana be .	Mu_O mpera_O z_O 'igitaramo_O cyabaye_O muri_O Mutarama_O 1967_O mu_O mujyi_O wo_O mu_O Bwongereza_O wa_O Nottingham_B-LOC ,_O yajugunye_O ako_O gapapuro_O mu_O bantu_O bari_O bateranye_O ,_O aho_O kagaruwe_O n'_O umwe_O mu_O bafana_O be_O ._O	kin
Abaguzi kandi baguze ibindi bintu 16 byashyizwe mu cyamunara n 'uwari umukunzi wa Hendrix witwaga Kathy Etchingham , babanaga kuva mu 1966 kugeza mu 1969 .	Abaguzi_O kandi_O baguze_O ibindi_O bintu_O 16_O byashyizwe_O mu_O cyamunara_O n_O 'uwari_O umukunzi_O wa_O Hendrix_B-PER witwaga_O Kathy_B-PER Etchingham_I-PER ,_O babanaga_O kuva_O mu_O 1966_O kugeza_O mu_O 1969_O ._O	kin
Uwo muhanzi yapfuye mu mwaka wa 1970 afite imyaka 27 azize kunywa ibiyobyabwenge bikabije .	Uwo_O muhanzi_O yapfuye_O mu_O mwaka_O wa_O 1970_O afite_O imyaka_O 27_O azize_O kunywa_O ibiyobyabwenge_O bikabije_O ._O	kin
Ubushinwa buvuga ko Taiwan yangiza imishyikirano .	Ubushinwa_B-LOC buvuga_O ko_O Taiwan_B-LOC yangiza_O imishyikirano_O ._O	kin
PEKINGO 1996-08-22 Ibibazo by 'abaturage	PEKINGO_B-LOC 1996-08-22_O Ibibazo_O by_O 'abaturage_O	kin
Kuri uyu wa Kane , Ubushinwa bwashinje Taipei gusenya umwuka wo kongera gutangiza ibiganiro mu nkengero z' ikigobe cya Taiwan , nyuma y' uruzinduko rw' Visi Perezida wa Taiwan , Lien Chan , muri Ukraine muri iki cyumweru , byarakaje Beijing .	Kuri_O uyu_O wa_O Kane_O ,_O Ubushinwa_B-LOC bwashinje_O Taipei_B-LOC gusenya_O umwuka_O wo_O kongera_O gutangiza_O ibiganiro_O mu_O nkengero_O z'_O ikigobe_B-LOC cya_I-LOC Taiwan_I-LOC ,_O nyuma_O y'_O uruzinduko_O rw'_O Visi_O Perezida_O wa_O Taiwan_O ,_O Lien_B-PER Chan_I-PER ,_O muri_O Ukraine_B-LOC muri_O iki_O cyumweru_O ,_O byarakaje_O Beijing_B-LOC ._O	kin
Itangazamakuru rya leta ryasubiyemo amagambo y' umuhuza mukuru w' u Bushinwa na Taipei , Tang Shubei , yabwiye itsinda ry' abashyitsi baturutse muri Taiwan ku wa Gatatu ko igihe kigeze ngo abo bahanganye bagire ibiganiro bya politiki .	Itangazamakuru_O rya_O leta_O ryasubiyemo_O amagambo_O y'_O umuhuza_O mukuru_O w'_O u_B-LOC Bushinwa_I-LOC na_O Taipei_B-LOC ,_O Tang_B-PER Shubei_I-PER ,_O yabwiye_O itsinda_O ry'_O abashyitsi_O baturutse_O muri_O Taiwan_B-LOC ku_O wa_O Gatatu_O ko_O igihe_O kigeze_O ngo_O abo_O bahanganye_O bagire_O ibiganiro_O bya_O politiki_O ._O	kin
" Iki ni cyo gihe cyo kugira ngo impande zombi zigire ibiganiro bya politiki ...	"_O Iki_O ni_O cyo_O gihe_O cyo_O kugira_O ngo_O impande_O zombi_O zigire_O ibiganiro_O bya_O politiki_O ..._O	kin
Tang yasubiwemo n 'ikinyamakuru cyitwa People 's Daily cyo mu mahanga cyo ku wa Kane kigira kiti " ni uguhagarika imishyikirano y' inzangano . "	Tang_B-PER yasubiwemo_O n_O 'ikinyamakuru_O cyitwa_O People_B-ORG 's_I-ORG Daily_I-ORG cyo_O mu_O mahanga_O cyo_O ku_O wa_O Kane_O kigira_O kiti_O "_O ni_O uguhagarika_O imishyikirano_O y'_O inzangano_O ._O "_O	kin
Ubushinwa , bumaze igihe burwanya ingamba zose za Taipei zo kurushaho kwemerwa n 'amahanga , bwarakajwe n' uruzinduko rw' Visi Perezida wa Taiwan , Lien , muri iki cyumweru muri Ukraine .	Ubushinwa_B-LOC ,_O bumaze_O igihe_O burwanya_O ingamba_O zose_O za_O Taipei_B-LOC zo_O kurushaho_O kwemerwa_O n_O 'amahanga_O ,_O bwarakajwe_O n'_O uruzinduko_O rw'_O Visi_O Perezida_O wa_O Taiwan_O ,_O Lien_B-PER ,_O muri_O iki_O cyumweru_O muri_O Ukraine_B-LOC ._O	kin
Ubushinwa buvuga ko iki ari cyo gihe cyiza cyo kuganira na Taiwan .	Ubushinwa_B-LOC buvuga_O ko_O iki_O ari_O cyo_O gihe_O cyiza_O cyo_O kuganira_O na_O Taiwan_B-LOC ._O	kin
PEKINGO 1996-08-22 Ibibazo by 'abaturage	PEKINGO_B-LOC 1996-08-22_O Ibibazo_O by_O 'abaturage_O	kin
U Bushinwa bwavuze ko igihe kigeze cyo kugirana ibiganiro bya politiki na Tayiwani kandi ko icyo kirwa gihangana kigomba gutera intambwe igaragara mu kugera kuri iyo ntego .	U_B-LOC Bushinwa_I-LOC bwavuze_O ko_O igihe_O kigeze_O cyo_O kugirana_O ibiganiro_O bya_O politiki_O na_O Tayiwani_B-LOC kandi_O ko_O icyo_O kirwa_O gihangana_O kigomba_O gutera_O intambwe_O igaragara_O mu_O kugera_O kuri_O iyo_O ntego_O ._O	kin
Ibiro ntaramakuru bya leta ya Xinhua byasubiyemo amagambo ya Tang Shubei , icyegera cy' umuyobozi mukuru w' ishyirahamwe ryita ku mibanire yo hakurya y' ikigobe cya Taiwan , yavuze ku mugoroba wo kuri uyu wa Gatatu .	Ibiro_O ntaramakuru_O bya_O leta_O ya_O Xinhua_B-ORG byasubiyemo_O amagambo_O ya_O Tang_B-PER Shubei_I-PER ,_O icyegera_O cy'_O umuyobozi_O mukuru_O w'_O ishyirahamwe_B-ORG ryita_I-ORG ku_I-ORG mibanire_I-ORG yo_I-ORG hakurya_I-ORG y'_I-ORG ikigobe_I-ORG cya_I-ORG Taiwan_I-ORG ,_O yavuze_O ku_O mugoroba_O wo_O kuri_O uyu_O wa_O Gatatu_O ._O	kin
Muri Nyakanga , imodoka zo mu Budage zariyongereyeho 14.2 % ugereranyije n' umwaka wabanjirije uwo .	Muri_O Nyakanga_O ,_O imodoka_O zo_O mu_O Budage_O zariyongereyeho_O 14.2_O %_O ugereranyije_O n'_O umwaka_O wabanjirije_O uwo_O ._O	kin
FRANKFURT ku itariki ya 22 Kanama 1996	FRANKFURT_B-LOC ku_O itariki_O ya_O 22_O Kanama_O 1996_O	kin
Iryo shami ryavuze ko mu kwezi kwa Nyakanga 1996 imodoka nshya 356.725 ari zo 304.850 z' abagenzi na 15.613 z' amakamyo .	Iryo_O shami_O ryavuze_O ko_O mu_O kwezi_O kwa_O Nyakanga_O 1996_O imodoka_O nshya_O 356.725_O ari_O zo_O 304.850_O z'_O abagenzi_O na_O 15.613_O z'_O amakamyo_O ._O	kin
Iyo mibare igaragaza ko umubare w 'imodoka zitwara abagenzi wiyongereyeho 13.6 ku ijana , naho uw 'amakamyo ugabanukaho 2.2 ku ijana uhereye muri Nyakanga 1995 .	Iyo_O mibare_O igaragaza_O ko_O umubare_O w_O 'imodoka_O zitwara_O abagenzi_O wiyongereyeho_O 13.6_O ku_O ijana_O ,_O naho_O uw_O 'amakamyo_O ugabanukaho_O 2.2_O ku_O ijana_O uhereye_O muri_O Nyakanga_O 1995_O ._O	kin
Muri icyo gihe , umubare w' abamotari banditswe wazamutseho 32.7 ku ijana .	Muri_O icyo_O gihe_O ,_O umubare_O w'_O abamotari_O banditswe_O wazamutseho_O 32.7_O ku_O ijana_O ._O	kin
Ikigo cyavuze ko uku kwiyongera kwabayeho ahanini bitewe n 'umubare munini w 'Abadage baguraga imodoka z 'Abadage mu mahanga , mu gihe abakora imodoka bavuze ko ibisabwa mu gihugu ari bike .	Ikigo_O cyavuze_O ko_O uku_O kwiyongera_O kwabayeho_O ahanini_O bitewe_O n_O 'umubare_O munini_O w_O 'Abadage_O baguraga_O imodoka_O z_O 'Abadage_O mu_O mahanga_O ,_O mu_O gihe_O abakora_O imodoka_O bavuze_O ko_O ibisabwa_O mu_O gihugu_O ari_O bike_O ._O	kin
Abakoze imodoka hafi ya bose bo mu Budage batangaje ko umubare w' ibyangombwa by' amamodoka byazamutse muri icyo gihe .	Abakoze_O imodoka_O hafi_O ya_O bose_O bo_O mu_O Budage_O batangaje_O ko_O umubare_O w'_O ibyangombwa_O by'_O amamodoka_O byazamutse_O muri_O icyo_O gihe_O ._O	kin
Volkswagen AG yatsindiye ibicuruzwa 77.719 , ni ukuvuga ibirenga gato kimwe cya kane cy' ibicuruzwa byose byatanzwe .	Volkswagen_B-ORG AG_I-ORG yatsindiye_O ibicuruzwa_O 77.719_O ,_O ni_O ukuvuga_O ibirenga_O gato_O kimwe_O cya_O kane_O cy'_O ibicuruzwa_O byose_O byatanzwe_O ._O	kin
Opel AG ifatanyije na General Motors iza ku mwanya wa kabiri n 'ibicuruzwa 49,269 byanditswe , ni ukuvuga 16.4 ku ijana by' ibicuruzwa byose byanditswe .	Opel_B-ORG AG_I-ORG ifatanyije_O na_O General_B-ORG Motors_I-ORG iza_O ku_O mwanya_O wa_O kabiri_O n_O 'ibicuruzwa_O 49,269_O byanditswe_O ,_O ni_O ukuvuga_O 16.4_O ku_O ijana_O by'_O ibicuruzwa_O byose_O byanditswe_O ._O	kin
Imodoka ya Ford yari ku mwanya wa gatatu n 'abantu 35.563 biyandikishije , ni ukuvuga 11.7 ku ijana .	Imodoka_O ya_O Ford_B-ORG yari_O ku_O mwanya_O wa_O gatatu_O n_O 'abantu_O 35.563_O biyandikishije_O ,_O ni_O ukuvuga_O 11.7_O ku_O ijana_O ._O	kin
Imodoka za Seat na Porsche ni zo zonyine zaguzwe cyane muri Nyakanga 1996 ugereranyije n 'uko byari bimeze muri Nyakanga umwaka ushize .	Imodoka_O za_O Seat_B-ORG na_O Porsche_B-ORG ni_O zo_O zonyine_O zaguzwe_O cyane_O muri_O Nyakanga_O 1996_O ugereranyije_O n_O 'uko_O byari_O bimeze_O muri_O Nyakanga_O umwaka_O ushize_O ._O	kin
Mu kwezi kwa Nyakanga umwaka ushize , Seat yari imaze kwandikisha abantu 3,420 mu gihe mu kwezi kwa Nyakanga umwaka ushize yari imaze kwandikisha abantu 5,522 .	Mu_O kwezi_O kwa_O Nyakanga_O umwaka_O ushize_O ,_O Seat_B-ORG yari_O imaze_O kwandikisha_O abantu_O 3,420_O mu_O gihe_O mu_O kwezi_O kwa_O Nyakanga_O umwaka_O ushize_O yari_O imaze_O kwandikisha_O abantu_O 5,522_O ._O	kin
Imodoka za Porsche zavuye kuri 643 zijya kuri 554 .	Imodoka_O za_O Porsche_B-ORG zavuye_O kuri_O 643_O zijya_O kuri_O 554_O ._O	kin
Abasosiyalisiti b 'Abagiriki bemereye Minisitiri w 'Intebe kujya mu matora .	Abasosiyalisiti_O b_O 'Abagiriki_O bemereye_O Minisitiri_O w_O 'Intebe_O kujya_O mu_O matora_O ._O	kin
ATENE yo ku itariki ya 22 Kanama 1996	ATENE_B-LOC yo_O ku_O itariki_O ya_O 22_O Kanama_O 1996_O	kin
Ibiro bikuru by 'ishyaka ry 'Abasosiyalisiti ry 'u Bugereki byatanze urumuri rw 'icyatsi kuri Minisitiri w 'Intebe Costas Simitis guhamagaza amatora yihuse , nkuko umunyamabanga mukuru w 'ishyaka Costas Skandalidis yabitangarije abanyamakuru .	Ibiro_O bikuru_O by_O 'ishyaka_O ry_O 'Abasosiyalisiti_O ry_O 'u_O Bugereki_O byatanze_O urumuri_O rw_O 'icyatsi_O kuri_O Minisitiri_O w_O 'Intebe_O Costas_B-PER Simitis_I-PER guhamagaza_O amatora_O yihuse_O ,_O nkuko_O umunyamabanga_O mukuru_O w_O 'ishyaka_O Costas_B-PER Skandalidis_I-PER yabitangarije_O abanyamakuru_O ._O	kin
Skandalidis yavuze ko Minisitiri w 'Intebe Costas Simitis azatangaza ku mugaragaro nyuma y 'inama y 'abaminisitiri izaba ku wa Kane .	Skandalidis_B-PER yavuze_O ko_O Minisitiri_O w_O 'Intebe_O Costas_B-PER Simitis_I-PER azatangaza_O ku_O mugaragaro_O nyuma_O y_O 'inama_O y_O 'abaminisitiri_O izaba_O ku_O wa_O Kane_O ._O	kin
-- Dimitris Kontogiannis , Ibiro by 'amakuru bya Athènes + 301 3311812-4	--_O Dimitris_B-PER Kontogiannis_I-PER ,_O Ibiro_B-ORG by_I-ORG 'amakuru_I-ORG bya_I-ORG Athènes_I-ORG +_O 301_O 3311812-4_O	kin
BayerVB yashyizeho ingwate ya miliyoni 100 z' amadolari y' u Bufaransa mu gihe cy' imyaka itandatu .	BayerVB_B-ORG yashyizeho_O ingwate_O ya_O miliyoni_O 100_O z'_O amadolari_O y'_O u_O Bufaransa_O mu_O gihe_O cy'_O imyaka_O itandatu_O ._O	kin
LONDON 1996-08-22 ( mu Gifaransa )	LONDON_B-LOC 1996-08-22_O (_O mu_O Gifaransa_O )_O	kin
Ikiguzi cy' iyi nguzanyo cyatangajwe n' umuyobozi mukuru wa Toronto Dominion .	Ikiguzi_O cy'_O iyi_O nguzanyo_O cyatangajwe_O n'_O umuyobozi_O mukuru_O wa_O Toronto_B-PER Dominion_I-PER ._O	kin
BORROWER BAYERISCHE VEREINSBANK Ikigo cy 'imari cy 'u Bubiligi	BORROWER_O BAYERISCHE_B-ORG VEREINSBANK_I-ORG Ikigo_O cy_O 'imari_O cy_O 'u_O Bubiligi_O	kin
AMT C $ 100 MLN COUPON 6.625 KUZURUKA 24.SEP.02	AMT_O C_O $_O 100_O MLN_O COUPON_O 6.625_O KUZURUKA_O 24.SEP.02_O	kin
TYPE STRAIGHT ISS Igiciro 100.92 Itariki yo kwishyura 24.SEP.96	TYPE_O STRAIGHT_O ISS_O Igiciro_O 100.92_O Itariki_O yo_O kwishyura_O 24.SEP.96_O	kin
Ibihembo byuzuye 1.875 REOFFER 99.32 SPREAD + 20 BP	Ibihembo_O byuzuye_O 1.875_O REOFFER_O 99.32_O SPREAD_O +_O 20_O BP_O	kin
Ikigo cy 'Igihugu gishinzwe Imibereho Myiza y 'Abaturage n 'Umutungo w 'Abaturage	Ikigo_O cy_O 'Igihugu_O gishinzwe_O Imibereho_O Myiza_O y_O 'Abaturage_O n_O 'Umutungo_O w_O 'Abaturage_O	kin
S & P = DENOMS ( K ) 1-10-100 UMUGABO US / UK / CA	S_B-ORG &_I-ORG P_I-ORG =_O DENOMS_O (_O K_O )_O 1-10-100_O UMUGABO_O US_B-LOC /_O UK_B-LOC /_O CA_B-LOC	kin
NEG PLG NO CRS DEFLT NO FORCE MAJ = Ibitekerezo by 'ibanze	NEG_O PLG_O NO_O CRS_O DEFLT_O NO_O FORCE_O MAJ_O =_O Ibitekerezo_O by_O 'ibanze_O	kin
Itegeko ry 'igihugu cy 'u Budage HOME CTRY = TAX PROVS STANDARD	Itegeko_O ry_O 'igihugu_O cy_O 'u_O Budage_O HOME_O CTRY_O =_O TAX_O PROVS_O STANDARD_O	kin
MGT / UND 0.275 SELL CONC 1.60 PRAECIP = Igihembwe cya mbere cy 'umwaka	MGT_O /_O UND_O 0.275_O SELL_O CONC_O 1.60_O PRAECIP_O =_O Igihembwe_O cya_O mbere_O cy_O 'umwaka_O	kin
BONDE YA GAVUMENTI 7.0 PCT SEPT 2001 BONDE YA GAVUMENTI 7.0 PCT SEPT 2001 BONDE YA GAVUMENTI 7.0 PCT SEPT 2001	BONDE_O YA_O GAVUMENTI_O 7.0_O PCT_O SEPT_O 2001_O BONDE_O YA_O GAVUMENTI_O 7.0_O PCT_O SEPT_O 2001_O BONDE_O YA_O GAVUMENTI_O 7.0_O PCT_O SEPT_O 2001_O	kin
AMABWIRIZA BAYERISCHE VEREINSBANK NI UMUYOBOZI W 'IBIGENGE W 'IBIGENGE by 'Ibanki y 'u Budage mu bijyanye n 'ubucuruzi	AMABWIRIZA_O BAYERISCHE_B-ORG VEREINSBANK_I-ORG NI_O UMUYOBOZI_O W_O 'IBIGENGE_O W_O 'IBIGENGE_O by_O 'Ibanki_O y_O 'u_O Budage_O mu_O bijyanye_O n_O 'ubucuruzi_O	kin
- Icyumba cy 'amakuru cy 'i Londres + 44 171 542 7658	-_O Icyumba_B-ORG cy_I-ORG 'amakuru_I-ORG cy_I-ORG 'i_I-ORG Londres_I-ORG +_O 44_O 171_O 542_O 7658_O	kin
Venantius yishyuriye Frw miliyoni 300 muri Mutarama 1999 .	Venantius_B-ORG yishyuriye_O Frw_O miliyoni_O 300_O muri_O Mutarama_O 1999_O ._O	kin
LONDON 1996-08-22 ( mu Gifaransa )	LONDON_B-LOC 1996-08-22_O (_O mu_O Gifaransa_O )_O	kin
Ikiguzi gikurikiyeho cy' inyungu zihinduka cyatangajwe n' umuyobozi mukuru wa Lehman Brothers International .	Ikiguzi_O gikurikiyeho_O cy'_O inyungu_O zihinduka_O cyatangajwe_O n'_O umuyobozi_O mukuru_O wa_O Lehman_B-ORG Brothers_I-ORG International_I-ORG ._O	kin
BORROWER VENANTIUS AB ( Ikigo cy 'Igihugu cy 'Ubwishingizi bw 'Ingwate cyo muri Suwede )	BORROWER_O VENANTIUS_B-ORG AB_I-ORG (_O Ikigo_O cy_O 'Igihugu_O cy_O 'Ubwishingizi_O bw_O 'Ingwate_O cyo_O muri_O Suwede_O )_O	kin
AMT $ 300 MLN SPREAD - 12.5 BP GUSHYINGIRA 21.JAN.99	AMT_O $_O 300_O MLN_O SPREAD_O -_O 12.5_O BP_O GUSHYINGIRA_O 21.JAN.99_O	kin
TYPE FRN BASE 3M LIBOR Itariki yo kwishyura S23.SEP.96	TYPE_O FRN_O BASE_O 3M_B-ORG LIBOR_O Itariki_O yo_O kwishyura_O S23.SEP.96_O	kin
Amafaranga y 'itumanaho y 'itumanaho rya Last Moody AA3 ISS	Amafaranga_O y_O 'itumanaho_O y_O 'itumanaho_O rya_O Last_O Moody_O AA3_O ISS_O	kin
Gahunda ya nyuma ya S & P AA + REOFFER =	Gahunda_O ya_O nyuma_O ya_O S_B-ORG &_I-ORG P_I-ORG AA_O +_O REOFFER_O =_O	kin
AMAGAMBO Y 'UMURYANGO W 'IBIGANIRO IGIHE cya mbere	AMAGAMBO_O Y_O 'UMURYANGO_O W_O 'IBIGANIRO_O IGIHE_O cya_O mbere_O	kin
LISTING LONDON DENOMS ( K ) 1-10-100 US / UK / JP / FR Ibiciro byo kugurisha	LISTING_O LONDON_B-LOC DENOMS_O (_O K_O )_O 1-10-100_O US_B-LOC /_O UK_B-LOC /_O JP_B-LOC /_O FR_B-LOC Ibiciro_O byo_O kugurisha_O	kin
NEG PLG YEGO CRS DEFLT Nta mbaraga zikomeye IPMA 2	NEG_O PLG_O YEGO_O CRS_O DEFLT_O Nta_O mbaraga_O zikomeye_O IPMA_O 2_O	kin
Guverinoma Itegeko ENGLISH HOME CTRY SWEDEN Itegeko rigenga imisoro	Guverinoma_O Itegeko_O ENGLISH_O HOME_O CTRY_O SWEDEN_B-LOC Itegeko_O rigenga_O imisoro_O	kin
MGT / UND 5 BP SELL CONC 5 BP PRAECIP = Igihembwe cya mbere cy 'umwaka	MGT_O /_O UND_O 5_O BP_O SELL_O CONC_O 5_O BP_O PRAECIP_O =_O Igihembwe_O cya_O mbere_O cy_O 'umwaka_O	kin
AMAGAMBO YASOHOWE mu Gahunda ya EMTN	AMAGAMBO_O YASOHOWE_O mu_O Gahunda_O ya_O EMTN_O	kin
- Icyumba cy 'amakuru cy 'i Londres + 44 171 542 8863	-_O Icyumba_B-ORG cy_I-ORG 'amakuru_I-ORG cy_I-ORG 'i_I-ORG Londres_I-ORG +_O 44_O 171_O 542_O 8863_O	kin
Imimerere yo ku cyambu - Siriya - Lloyds Shipping .	Imimerere_O yo_O ku_O cyambu_O -_O Siriya_B-LOC -_O Lloyds_B-ORG Shipping_I-ORG ._O	kin
Imimerere yo ku cyambu itangwa na Lloyds Shipping Intelligence Service ...	Imimerere_O yo_O ku_O cyambu_O itangwa_O na_O Lloyds_B-ORG Shipping_I-ORG Intelligence_I-ORG Service_I-ORG ..._O	kin
LATTAKIA , ku ya 10 Kanama - igihe cyo gutegereza kuri Lattakia na Tartous ubu ni amasaha 24 .	LATTAKIA_B-LOC ,_O ku_O ya_O 10_O Kanama_O -_O igihe_O cyo_O gutegereza_O kuri_O Lattakia_B-LOC na_O Tartous_B-LOC ubu_O ni_O amasaha_O 24_O ._O	kin
Israel yirengagije ubwoba bw 'intambara na Siriya .	Israel_B-LOC yirengagije_O ubwoba_O bw_O 'intambara_O na_O Siriya_B-LOC ._O	kin
Colleen Siegel	Colleen_B-PER Siegel_I-PER	kin
Yerusalemu 1996-08-22	Yerusalemu_B-LOC 1996-08-22_O	kin
Umuvugizi wa Isiraheli mu biganiro by' amahoro na Siriya , kuri uyu wa Kane yavuze ko ubushyamirane buri hagati y' ibi bihugu byombi busa n' uburi mu gikombe cy' icyayi .	Umuvugizi_O wa_O Isiraheli_B-LOC mu_O biganiro_O by'_O amahoro_O na_O Siriya_B-LOC ,_O kuri_O uyu_O wa_O Kane_O yavuze_O ko_O ubushyamirane_O buri_O hagati_O y'_O ibi_O bihugu_O byombi_O busa_O n'_O uburi_O mu_O gikombe_O cy'_O icyayi_O ._O	kin
