premise	hypothesis	output	language
"Say the word , and we 'll run round right away to some high-class jeweller , and fix up the ring business . """	Say no , and I will jump off the tallest building around .	contradiction	en
right well people they in general are just getting married a lot later i 'm still single so i 'm sure i 'll be one of those parents that 's you know one of those women in her thirties when when i get around to to ever getting married and then having kids so	I will probably have kids before my twentieth birthday	contradiction	en
Ah , this is curious , said Poirot .	Poirot kept silent .	contradiction	en
temple to the Egyptian goddess of love , Hathor , while above there are steps leading to a contemporary Egyptian inscription .	The steps lead to an inscription in ancient Greek .	contradiction	en
The Sanhedrin , the great court of scholars and rabbis , also met here , and Tiberias became one of Israel 's four holy Jewish cities , along with Jerusalem , Hebron , and Safed .	Israel has only three holy Jewish cities ; Jerusalem , Hebron , and Safed .	contradiction	en
Prudie applauds your standing for women and holding doors , but must point out that calling adults by a first name , if they wish it , is a different issue .	Prudie thinks that standing for women is old fashioned and unnecessary .	contradiction	en
The President 's Energy Plan recognizes that by conserving energy and limiting NOx , SO2 and mercury emissions , we can provide the country with significant public health and environmental benefits .	The Energy Plan just deals with making energy cheap .	contradiction	en
Or suppose Greenspan did not respond quickly enough and that the economy did indeed fall into a slump .	It is not possible for Greenspan to react to a slumping economy .	contradiction	en
The sheets are creamy white and the tissue lining in the envelope a bluer white .	The sheets and the lining are black .	contradiction	en
Attitudes changed too .	Attitudes have always stayed the same .	contradiction	en
Come now , he continued , as Tuppence remained silent .	Tuppence did not remain silent , he shouted instead .	contradiction	en
probably wouldn 't even hurt to have a section that says here 's how this particular office affected you or could have affected you over the last several years you know these are the kinds of decisions that this particular judge or this particular uh Railroad Commission for instance does	I think it would waste resources to delve into what each office has done and how it has affected us .	contradiction	en
overtime , credit hours , or compensatory time ) , and leave .	There is no item for overtime .	contradiction	en
The truth is that you have a choice--if you want a text interface you can have it , if you prefer a graphical interface that 's fine too .	You have no choice , only a text interface is present .	contradiction	en
come here	Go away .	contradiction	en
Although she thought age of the interventionist could be an influential factor , she was unsure because there are so many interactions and factors that we have not looked at very carefully .	She was absolutely positive that the age of the interventionist was a big influential factor .	contradiction	en
They should be ashamed .	They should be proud .	contradiction	en
Not far from the spa town of Noboribetsu is Shiraoi , a well-reconstructed Ainu village complete with artisans demonstrating traditional arts and crafts .	Shiraoi is the only place still containing the Ainu .	contradiction	en
A fourth type of lie might be called the mendacium universalis , the universal or endemic lie .	There is no such thing as a lie , only mistakes .	contradiction	en
One of the reasons why we feel that this impeachment trial is really not what it 's purported to be is that there have been four years of investigations .	The impeachment trial was an open and shut case , and the former Vice President promptly assumed his new role .	contradiction	en
The courts and the public would come to question the adequacy and fairness of professional representations when the attorney , either consciously to comply with this statute or unconsciously to continue the repre	The courts question how fair the attorney 's payment terms would be .	contradiction	en
well i think if you 're doing something really bad it 's going to show up	If you do something bad it won 't ever be seen .	contradiction	en
She wasn 't near by .	She was close .	contradiction	en
So I just thought I 'd go out , said Red .	I will go in , said Red .	contradiction	en
Art History	Science History	contradiction	en
Around the turn of the century Britain and other countries had noted with great interest the developments in Palestine , and during World War I the British courted Jews and Arabs for help to get rid of the Ottoman Empire .	Britain practiced isolationism and anti-war tactics in World War I.	contradiction	en
Funding was declining or stagnant , many people in leadership positions were weary after years of fighting for survival , demand for the delivery of quality legal services was increasing , staff were questioning their work environments and their personal goals , technology was fundamentally changing the practice of law , and society was growing increasingly inhospitable to the needs of poor people .	Funding was constantly on an upward turn but people in leadership were still fighting for survival .	contradiction	en
In the ' 50s , he reworked It Ain 't Necessarily So for Adlai Stevenson ( and included the first sung reference to a vice-presidential L 'il Nixon was small , but oh , my / His office expenses were high ) as well as Love Is Sweeping the Country ( also from Of Thee I Sing ) :	He did not rework anything in the ' 50s .	contradiction	en
oh i can 't even i can 't imagine it	Oh yeah , I have an idea	contradiction	en
Later that night when he awoke , he felt the panic within his stomach when Jon 's cold blue eyes beheld him as he awoke .	He felt relieved when he woke up and saw Jon .	contradiction	en
uh because of the uh improvement in real estate prices and on the last move we bought ourselves a fairly large house and i 've got some pretty stiff mortgage payments now	I have no mortgage payments .	contradiction	en
Patricia Perry reported that one alcohol intervention project in New York State was implemented in 18 hospitals , but in a different way in each one .	The alcohol intervention program only made it into hospitals in Massachusetts .	contradiction	en
The Clear Skies Act	The dirty air act .	contradiction	en
Don 't give me this crap about how the crab claws wouldn 't fit on the smorgasbord table .	I want to hear about how the crab claws would not fit .	contradiction	en
OMB 's published guidance12 states that an agency should perform an assessment to evaluate the suitability of electronic signature alternatives for a particular application .	Guidance12 was never published , so we do not know anything about its contents .	contradiction	en
"Imagine ! """	EAT !	contradiction	en
The American people expect and deserve this linkage as well .	The American people don 't care about this linkage , do they ?	contradiction	en
um-hum yeah i just about could really because i think my car if i continue taking good care of it it 's going to hold a pretty good resale value and uh that if i consider going the used car route and save up some money i shouldn 't have too much trouble at all	I think I will not be able to afford a used car .	contradiction	en
After the Rond-Point , there 's a pleasant , shady park that stretches down to the gigantic Place de la Concorde .	There is a shady park which is very unpleasant stretching to the Place de la Concorde .	contradiction	en
Pistols rang out and the two riders fell dead from their horses .	The riders. held on to the horses tight .	contradiction	en
It is informed by federal and state law , census data and innovative models from other disciplines while acknowledging the breadth of our communities .	Federal and state law have no control over census data .	contradiction	en
Dexfenfluramine ( tradenamed Redux ) , a cousin of fenfluramine , was just released .	Redux has been on the market for decades .	contradiction	en
The repetitive nature of processing most transactions and the uniform examination procedures applied to invoice processing usually permit extensive automation of these processes .	The repetitive nature of processing tend not to permit extensive automation of these processes .	contradiction	en
Ca 'daan waited until the rest of the afternoon for the man to come back out .	He grew bored and left after a few minutes .	contradiction	en
Their combined expertise includes resource development , organizational management , technology , migrant and immigration law , access and intake systems .	Their combined expertise relates to tax law .	contradiction	en
At first sight they look easy , although further observation shows how precise and disciplined the movements are .	It takes years to be able to muster the movements .	contradiction	en
The Caribbean here is usually placid and always inviting , and the atmosphere is utterly relaxed , the tiny village quiet and clean .	The village is enormous , filthy and extremely noisy .	contradiction	en
Many of the elite of Athens have sailed the short distance from the capital for a weekend at a deserted inlet .	It is a Long distance from the capital to the deserted inlet .	contradiction	en
To ease the regulatory burden , the FDA has extended the effective date of the rule to June 1 , 1997 , and will not take regulatory action for an additional year on the design control requirement .	Regulatory action on the design control requirement will begin immediately .	contradiction	en
Netscape didn 't merely point out a two page discussion in his book of a single case that pointed the other way .	Netscape merely pointed out a two page discussion in his book of a single case .	contradiction	en
But , 33 years after he gave Barbra Streisand People , she 's still singing it .	"Barbra Streisand has never sung the song "" People "" in her life ."	contradiction	en
The center of Italy is the cradle of Latin civilization , one-time administrative headquarters of that ancient conglomerate known as the Roman Empire .	Rome is only on the side of Italy .	contradiction	en
You ridin ' out to tell the army we 're here with the horses ? Drew asked .	Eric demanded nobody tell the Navy anything about where they were with the horses .	contradiction	en
While Social Security provides a foundation for retirement income , saving through pensions and by individuals on their own behalf contribute substantially to retirement income .	Individual savings and pensions are not at all suitable for retirement savings .	contradiction	en
( Apparently , it was a happy arrangement for all . )	Everyone didn 't like the arrangement .	contradiction	en
'That 's even worse . ' 	That is better .	contradiction	en
and they do i know now because i even when i was in elementary school years ago they were	They never did when I was in elementary school and still don 't now .	contradiction	en
He could not call for her again .	He was welcome to talk to her .	contradiction	en
If the Private Express Statutes were repealed , it is possible that Congress would also change the framework for labor negotiations , especially the no-strike rule and the requirement for binding arbitration when no agreement is reached through collective	No matter what congress would never change any labor laws .	contradiction	en
Steel , and bid $ 205 for the company 's shares at a time when the stock was already trailing well below that .	Steel refused to pay more than the stock was worth .	contradiction	en
yeah i think that was one of the main reasons that i quit was because i wanted my kids to have my values and i felt like when they were young that was the time to instill it that it could be it could be added to and strengthened as they grew older but when they were little	I have terrible values , and I wouldn 't want to teach them to my kids .	contradiction	en
and inspection of hundreds of billions of dollars worth of imported goods	They inspected a handful of the imported goods .	contradiction	en
The old man DID pile it up .	The old man broke it down .	contradiction	en
Safire notes that Steve and Cokie Roberts were there too , facts confirmed by the husband-and-wife team on CNN 's Late Edition and This Week , respectively .	Steve and Cokie Roberts disputed the fact that they were there .	contradiction	en
For example , the quality of parts received by an activity , or the degree of complexity of tax returns to be reviewed by the IRS .	The IRS doesn 't review quality of parts	contradiction	en
oh good luck we wound up selling the house actually i i don 't know whether it made actually it does it 's interesting that the white um	We ended up keeping the house for about 20 more years .	contradiction	en
has a uh a big paper mill in fact i almost went to work for them i was offered a job and turned it down because my mother got it for me but it 's twenty or thirty miles from my house every time you recycle that 's one less tree my mother can sell and uh so it 's a question should i be diligent and um um	I took a job at a big paper mill , even though it was far away , because I 'm passionate about paper .	contradiction	en
National Saving So Low ?	People save 70 % of their income .	contradiction	en
The massive Chioninji is home to the Jodo ( Pure Land ) Buddhist sect , which in the 12th century spread the appeal of Buddhism to the uneducated classes .	Chioninji is home to the Zen sect of Buddhism .	contradiction	en
i 've never even tried that my if i don 't have a reel with a button on it i tend to get so much backlash it 's not worth the trouble	I don 't get any backlash when my reel doesn 't have a button it .	contradiction	en
"There 's not the sympathy there was , and a growing disposition to let the Irish settle their own affairs without interference from America . "" Tommy felt that Boris had shrugged his shoulders as he answered : 61 "" Does that matter , since the money only nominally comes from the States ? """	"Tommy did not even suspect that Boris might have shrugged his shoulders as he answered : 61 "" Does that matter , since the money only nominally comes from the States ? """	contradiction	en
Germany celebrated the 10 th anniversary of the fall of the Berlin Wall .	The Berlin Wall never fell at all .	contradiction	en
4 Due to a name change which is difficult to explain and is confusing , Standard A mail is the same mail that was formerly identified as Third Class .	Third Class Mail and Standard A mail are two completely different types of mail .	contradiction	en
who 's the who 's the author	Who 's the illustrator ?	contradiction	en
yeah a typewriter with memory would would have been fine it 's all she ever uses it for	She would be fine with having a spiral notebook and pencil since she can 't type .	contradiction	en
An Oktoberfestively drunk Henry Kissinger egged him on to use the stiff corpse of Lenin to chip off a hunk of wall .	Henry Kissinger warned him against using Lenin 's corpse .	contradiction	en
All right .	No .	contradiction	en
In 1989 , Publishers Express was founded by Time Inc . , Meredith Corp. , American Express Publishing , New York Times Co . , Times Mirror Co . , and R. R. Donnelley , among others , to provide alternative delivery .	Publishers Express was founded as an independent book printer .	contradiction	en
To the south , in the Sea of Marmara , lie the woods and beaches of the Princes ' Islands .	In the north is the Sea of Marmara where there are mountains to climb .	contradiction	en
Visitors can choose to stay in cosmopolitan Strasbourg , picturesque Colmar , or hillside villages , and can eat in cozy winstubs ( wine bars ) or stylish restaurants ( Alsace has more Michelin stars than any other province in France ) .	Alsace has the least Michelin stars out of the other provinces in France .	contradiction	en
That 's your name now .	That 's no longer your name .	contradiction	en
The backbone of the Guelfs was in communes such as Florence and Genoa .	Genoa and Florence were not the backbone of the Guelfs .	contradiction	en
yeah it it depends on um yeah there 's there 's always a reason why they 're on sale	The jeans are on sale for no reason at all . The owners just discount them .	contradiction	en
Saving the Social Security surpluses produces unified budget surpluses for almost 20 years , as shown in figure 4.2 , and eliminates the debt held by the public by 2015 .	Saving the Social Security surpluses doesn 't produce unified budget surpluses for almost 20 years	contradiction	en
He also identifies a number of highly technical problems with the experiment that , he says , render it meaningless .	He doesn 't identify any problems with the experiment , and says that it 's fine .	contradiction	en
A careful replica that was created at Lascaux II makes a satisfying alternative .	No replicas were ever made .	contradiction	en
He didn 't .	He did . Whatever it is , he did .	contradiction	en
My Hollywood will be making mob movies long after the mob as we know it is gone .	Hollywood has traditionally avoided making movies about the mob and will continue to do so .	contradiction	en
Mann Theaters in Westwood Village operates nine state-of-the-art screens showing first-run films .	Mann Theaters in Santa Monica operates eight state-of-the-art screens showing first-run films .	contradiction	en
The first appendix covers relevant issues addressed in GAO 's reports ( responses to agency requests ) .	The second appendix covers all the issues in the GAO 's report .	contradiction	en
really started going about seventeen he 's seventeen now he was he was fifteen then but uh i 've got a son son and both daughters like to go and uh they have got a a dock down in the protected area	My kids stay inside all the time ; I really wish they would get out occasionally .	contradiction	en
He nodded .	He shook his head no .	contradiction	en
Analysts and movie types hooted with derision--that 's like charging for a piece of art based on how much bronze or paint was used , sneered one .	The decision was popular with analysts and movie types .	contradiction	en
Got something I have to do . Drew went directly to the Four Jacks .	Drew went to the the Four Leaf Clovers .	contradiction	en
Given these responses to volume , total street time cost would increase from $ 10 billion to $ 16 .	The street income cost would decrease .	contradiction	en
than you put into the process so it 's a way of of making a profit off the tires	There 's no way to profit off of tires .	contradiction	en
i know i 'm trying to think if there 's anything i do you like uh i like stuff that 's on Great Performances and i we used to watch mystery quite quite a bit and enjoyed that	We have a lot in common .	contradiction	en
Made of ...	Not made using .	contradiction	en
that 's not too bad	It 's the worst	contradiction	en
Sulfates and nitrates that form in the atmosphere from SO2 and NOx emissions are significant contributors to visibility impairment in many national parks and wilderness areas , as well as urban areas across the country .	SO2 emissions only affect visibility in national parks .	contradiction	en
The Saturday market is a joy , as are the narrow streets of the old town east of the busy Rue de la R ? ? publique .	The old town 's streets are wide , and located west of the Rue de la Republique .	contradiction	en
Another is that the size fits most transoms , windows , and walls .	The size doesn 't fit any windows or walls	contradiction	en
Renowned Mallorcan glassware has been manufactured on the island since the 14th century .	The glassware is a new creation .	contradiction	en
Good human capital policies and practices are another critical environmental factor .	There has yet to be a discovery on the critical environmental factors .	contradiction	en
I admit , I didn 't have much reason to think that .	I had all the reasons in the world to think that .	contradiction	en
The term always refers to a specified manager since all costs are controllable by someone .	Anybody can authorize costs without recording their identity .	contradiction	en
The cooperation among stakeholders that marked these endeavors has led to some exciting initiatives to improve and expand access to justice for low-income people .	Unable to reach an agreement , the stakeholders announced there would be no improvement or expanded access to justice for poor people .	contradiction	en
"If I ever come to Russia , Monsieur Kramenin , I shall expect a rousing welcome , and "" But before Julius had finished his speech , and before the car had finally halted , the Russian had swung himself out and disappeared into the night ."	Julius finished his speech as Monsieur Kramenin politely listened and waited for the car to come to a halt .	contradiction	en
Take the cable car to Tofana di Mezzo for an awesome view clear down to the Venetian lagoon .	The only way to reach Tofana di Mezzo is by foot .	contradiction	en
specified in table B.	Table B has been removed .	contradiction	en
He argues that the theory of increasing returns is crucial to the case against Microsoft--which is true , although even so it is unclear why he couldn 't just present the theory without the dubious intellectual history .	He says Microsoft depends on lowering returns for their argument to be successful .	contradiction	en
) Varnish Remover , Robert Shrum 's analysis of a TV commercial , has been suspended to allow Bob to concentrate on whatever it is he does exactly as an international political and business consultant .	Robert Shrum continued to ignore his work and watch TV .	contradiction	en
You do , said Tuppence quietly .	Tuppence is shouting to everyone in the room .	contradiction	en
and losing one run games	They lost by ten .	contradiction	en
Montana lets judges order castration after just one offense .	Montana will castrate everyone .	contradiction	en
Keep in mind that you only test those data elements you plan to use for the engagement .	All data elements will be tested .	contradiction	en
Related disclosures should focus more on key performance indicators along with selected projection information and sensitivity analyses .	Related disclosures should not focus on key performance indicators .	contradiction	en
i can see now when you 've been there a while though they were talking about random testing it seems like if there 's no reason to suspect you	They never test .	contradiction	en
And above all I want no mixing it up with any army patrol riding south .	I want everyone to mix it up with an army patrol riding south .	contradiction	en
In Visibility and Fine Particles , Transactions of an AWMA / EPA International Specialty	Invisible and Corse Particles , Thievery of an AWMA / FDA International Specialty .	contradiction	en
Stow it , said Number 14 .	Number 14 was silent .	contradiction	en
For simplicity , consider a married couple in which neither spouse is covered by an employer-sponsored pension plan and each contributes $ 2,000-the maximum per person per year allowed under current law-to a traditional IRA .	$ 7,000-the maximum contribution per person per year is allowed .	contradiction	en
It was a simple room .	The room was complicated .	contradiction	en
On the second floor window some one standing between the window and the light in the room threw a silhouette on the blind .	There was no one in the room .	contradiction	en
The sky , he explained pompously , was a great mystery that only an adept might communicate to another .	They knew everything about the sky , it was common knowledge .	contradiction	en
Because governmental , economic , industry , regulatory , and operating conditions continually change , mechanisms should be provided to identify and deal with any special risks prompted by such changes .	Conditions are rarely changing in an organization .	contradiction	en
wailing at the loss of his fine thatch and simultaneously unable to keep from stroking his mown , velvety skull .	He continued to play with the long strands of hair that framed his face .	contradiction	en
However , the program is still quite competitive , and the project would probably have to involve testing as well as development .	The program has long ceased to be competitive .	contradiction	en
But there is usually a strong commercial aspect to the celebrations .	There isn 't a very strong commercial aspect to the parties .	contradiction	en
The most significant resistance came from Marathas , in today 's State of Maharashtra , around Mumbai .	The Martha 's were too scared to resist .	contradiction	en
He showed no signs of buckling under physical work that would have killed him on his own world .	He was certain to die despite the easy nature of the work he was performing .	contradiction	en
Published in Emerging Competition in Postal and Delivery Systems , edited by M.A.	The postal and delivery systems have nothing published in their sections .	contradiction	en
and um having people but you know our like in our church it it is you 're free to do that or not you 're encouraged to do it because um you know it it helps you and	You cannot do that in our church ; there are rules that forbid that .	contradiction	en
However , many Hawaiians were opposed to surrendering their sovereignty .	Many Hawaiians agreed with surrending their soveregnty .	contradiction	en
Was it possible that this genial , well-known figure could be in reality a dangerous criminal ?	I know the man was sae .	contradiction	en
This Republican rejoinder grants that the House impeachment process was politicized but argues that 1 ) the Senate should be above such tawdry politics	This Republican capitulation accepts that the impeachment was unfounded and that the Senate was not the place to air such dirty laundry .	contradiction	en
"I 've failed failed badly . "" Mr. Carter eyed him sharply ."	Today , I have succeeded .	contradiction	en
They reasserted their rights in the insurrection of July 1830 ' the kind of liberal revolution they would have preferred back in 1789 ' paving the way for the bourgeois monarchy of Louis-Philippe .	They would have preferred a revolution in 930 AD .	contradiction	en
The renowned Theban queen Nefertari , wife of Ramses II , has the most ornate tomb ( number 66 ) but it is not always accessible .	The plainest of all of the tombs is the one which houses Queen Nefertari .	contradiction	en
Paste for Greenies	Paste given by Greenies .	contradiction	en
A lab-tech approached , tentatively .	A lab tech ran away from me .	contradiction	en
If key recovery is adopted , terrorists are likely to eschew it in favor of unbreakable technology .	Terrorists don 't care at all about whether technology is unbreakable or not .	contradiction	en
we have had no snow to speak of to speak of	We have gotten so much snow this winter .	contradiction	en
it you know the girls can learn things in school about everything that is temporary but as far as really knowing the earth there 's no other way to really learn it but to experience it	They can 't learn anything in school .	contradiction	en
Farther down , urban Malays form a modern bourgeoisie , cultivating contacts with the Arab Middle East and keeping only a remote eye on their country estates .	Urban Malays keep a close eye on their country estates .	contradiction	en
The town cannot be defended , said San 'doro .	San 'doro said the town was safe .	contradiction	en
To meet BLM 's expectation to establish cooperative and constructive relationships that facilitate input from a range of stakeholders , the senior executive who heads the Montana state office set an expectation to expand partnerships and maintain close working relationships with national interest groups in his individual plan for the 2001 performance appraisal cycle .	BLM does not expect to establish a relationship with stakeholders .	contradiction	en
but i don 't think the vines they don 't really they don 't have to be touching or anything like you say they cross pollinate just by bees	The vines should be touching in order to properly grow .	contradiction	en
LSC works cooperatively with several national organizations that make technology grants	LSC works alone .	contradiction	en
Then the demand suddenly decreased , and it wasn 't because of the actions of anti-fetus replacement organizations .	The demand for it was shooting sky high .	contradiction	en
The castle here , noted for its double walls and high , eight-turreted tower rarely found south of Madrid , also has national monument status .	The castle does not feature any turrets .	contradiction	en
She dared not reopen the door , however gently .	She opened the door , for the first time , forcefully because it would not budge .	contradiction	en
The French take their jazz seriously , and Paris has many jazz clubs .	There is widely known that the French hate jazz music .	contradiction	en
I don 't feel it 's appropriate to try and dictate someone 's behavior in their own apartment , but the smell drives me nuts .	I love the smell coming from their apartment .	contradiction	en
A modest puppet show is put on every 20 to 25 minutes in the puppet theater .	The puppet theater is defunct , and there are never any performances there anymore .	contradiction	en
Legal Aid has uncomfortable company .	Legal Aid has very comfortable company .	contradiction	en
At the same time , marauding Scottish clans began to attack the Lakes .	German clans were attacking the Lakes at the same time as the Scottish clans .	contradiction	en
is to have the drug testing	Drug testing isn 't required .	contradiction	en
Deal ? '	I want no exchanges with you . ' 	contradiction	en
City carriers drive an estimated 15 miles per day .	The city carriers estimated drives are 100 miles per day or longer .	contradiction	en
that 's right you know i remember when i was working in high school you know i was working in an office and right right after i got out of high school i continued working there for probably another year and we did everything on a typewriter	When I had an office job in high school , we did everything on a computer .	contradiction	en
it doesn 't just breakdown one it 's not a one to one reaction it 's it 's a catalytic thing and it it actually just rumbles around and around and and breaks up every C O you know O O O three molecule it hits	It breaks down instantly as it 's always going to be a one to one reaction .	contradiction	en
Even in a fetus , a fibroblast is as highly specialized and fully differentiated as a mammary cell .	Even as a fetus , the fibroblast is the same as a mammary cell .	contradiction	en
PK President Randy Phillips urged men at the Washington assembly to set aside politics and focus on God , but Operation Rescue and the FRC showed up to distribute pamphlets .	PK President Randy Phillips urged men to focus on Satan and politics .	contradiction	en
Close by the bridge is the Musee Courbet , in his childhood home , with the old walking stick depicted in his famous painting Bonjour Monsieur Courbet .	He never lived at MuseeCourbet .	contradiction	en
yeah i 've got a little doggy uh that i 've had quite uh quite a long time in fact she just turned sixteen years old New Year 's Eve	I only have a cat .	contradiction	en
and she wanted to paint the shed it 's a it 's a wooden shed uh and she took it and they 've got this machine that matches the color of paint	There was this brick shed that she wanted to throw eggs at .	contradiction	en
The horse neighed , pawed with a forefoot .	The horse turned a walked back to the stable .	contradiction	en
Still , in the vast sweep of history , a 50 to 60 percent approval rating isn 't particularly great--it 's about where President Kennedy 's lowest job-approval rating sat .	Kennedy 's approval rating was above 80 percent .	contradiction	en
Tim Hutchinson , R-Ark . , calls the case symptomatic of the casual attitude with which the Clinton administration views issues of national security .	The Clinton administration is very strict about national security issues .	contradiction	en
Use this until you leave .	Don 't use this until you 're a mile away from here .	contradiction	en
But now a fresh dilemma arises : he dare not keep that piece of paper on him .	The paper should be on him at all times .	contradiction	en
The organizations identified several critical success factors that they viewed as essential to establishing , developing , and maintaining effective information-sharing relationships , which could benefit critical infrastructure protection efforts .	No success factors have been found to establish effective information-sharing relationships .	contradiction	en
Without the force of government behind them , Pol Pot would have been fairly harmless and Hitler , a third-rate artist .	Hitler and Pol Pot over-powered their governments through force of will .	contradiction	en
In the churchyard of St. Kentigern church , opposite the mill , is the grave of John Peel .	John Peel is buried at the mill , off the church land .	contradiction	en
They 're French , indisputably spiced with an intriguing Caribbean flavor .	They 're Caribbean with some French flavor mixed in .	contradiction	en
What is it , mon ami ?	There is nothing wrong .	contradiction	en
It achieved this reduction , by and large , by indicating what	It failed to achieve this reduction , by and large , because of the lack of indication .	contradiction	en
They stop eating .	They continue eating .	contradiction	en
The post-impressionist paintings of Jack B. Yeats ( brother of the famous poet ) are particularly noteworthy .	Jack B. Yeats ' paintings are not noteworthy at all .	contradiction	en
It is not a detailed guide to case study design .	It is a detailed guide .	contradiction	en
After a few skirmishes and much negotiation , a peace agreement was reached .	The agreement came into place after many skirmishes and little negotiation .	contradiction	en
On the radio , they are still talking about the Brooklyn Museum 's controversial art exhibit .	The Brooklyn Museum is boring .	contradiction	en
By the end of that one-hour lunch , he had listed off at least 20 projects - not the least of which was a new shelter -- and was sitting there waiting for me to respond .	Right from the start of the lunch he had already proposed 20 projects to which he did not want my response .	contradiction	en
Note that the postal services in many other countries carry unaddressed mail .	The UN has banned any country from carrying unaddressed mail .	contradiction	en
There were results at once .	The results came too slowly .	contradiction	en
A lovely eighth-century Birth of Buddha is curiously reminiscent of Christian nativity scenes .	The Birth of Buddha and the Christian nativity scenes are nothing alike .	contradiction	en
yeah well unless they finally do take care of it themselves but you know you kind of have to wonder whether it 's going to be any better with uh you know depending on whether it Shiite Muslim or uh or the Kurds in power but uh you know	They will take care of themselves so no one needs to be in power .	contradiction	en
Most influential at this stage was architect William Playfair , and his flair can be seen in many of the streets and public buildings of the time .	William Playfair had a failed career in architecture .	contradiction	en
so you know like you said we 've been paying these fees and not going so it 's kind of a a waste of money if you don 't take advantage of it	They haven 't been paying the fees .	contradiction	en
Above the sanctuary , priests and neophytes chant from the scriptures of the Adi Grant in a hall , now a museum to history and a record of the tortures suffered by Sikhs .	Priests and nuns alike read from the scriptures of the Adi Grant .	contradiction	en
