premise	hypothesis	output	language
Aka amuyunakax, ingeniería social ukham uñt 'atawa, aka amuyunakax apnaqirinakaruw yanapt 'i, yanapt 'i, janiw uñch 'ukipkiti, jan ukasti wali amuyumpiw yanapt 'i, kunapachati yatiyawinakax mayi ukjaxa.	Usuarionakax wali amuyumpiw uñch 'ukipxi kunapachati yatiyawinakax mayitäki ukjaxa.	contradiction	ayr
Taksi ventana uñtasinxa, taqiniwa mä ch'usa laq'ur uñtat uñjasipxta.	Taxix janiw mistkänti.	contradiction	ayr
Aka uñakipäwinx FAA ukaruw uñt 'ayapxta kunalaykutix aka markanx utjki uka kamachinakatx jark 'aqawinakaw utji, uka kamachinakax qullqi mayt 'asirinakaruw juk 'amp jan walt'ayañatak yanapt 'i.	Janiw kuna mayiwinakas utjkaniti, FAA ukax janiw chikanchaskiti.	contradiction	ayr
Sarnaqañ thakhi jikxatañax wali askiwa, jilpachax thakhix mä uñacht'awimpiw saranti, ukatx k 'achat k 'achat uñacht'ayatarakiwa.	Thakhinakanjam thakhi jikxatañax jan uñt 'at jaqinakatakix ch 'amakïspawa.	contradiction	ayr
Chiqpachansa, sapa marax 30 waranq waranq jaqiw ukar sarapxi, ukat waljaniw qhiparañ amtapxi.	Arealax mä suma qurpachasiñ utawa, ukampis janiw jakasiñatak wali askïkiti.	contradiction	ayr
- Nayax wasüru, jan ukax domingo uruw akham uñjta.	""" Magnolias de Acero "" sat filmejj niya mä mara nayraw uñjta."	contradiction	ayr
Ispañulankirinakax 1658 maranw Isle de Guadarrama uksar kutkatayañ munapxi, ukampis atipjataw uñjasipxi; ukampirus ukax janiw Jamaica markan jan walt'awinak utjaykänti.	Español jaqinakax 1658 maranw Jamaica markarux atipjapxatayna, Good River uka jach'a ch 'axwawin atipjasa.	contradiction	ayr
Newsweek ukax Martha Stewart juparuw uñt'ayi, kunjamti jupax web marketing uksan atipt'awayi ukxata.	Martha Stewart ukan uñt 'ayäwipax jan walt 'ayataw uñjasiwayi.	contradiction	ayr
Wali askipuniwa, jan walt'äwinakat askichäwinakax nayrir unxtasiwinakatw askichatañapa.	Kunatix askïki ukarux janiw llakisiñax wakiskiti.	contradiction	ayr
Uman pist'ayasiñapax janiw jilpach unxtasirinakar saykatañatakïkiti, ukampirus uka jach'a utanakamp walja jach'a jach'a utanakampiw es pujols, mitjorn, es cale ukat calesahona jach'a quta thiyanakan jikxatasi.	Ukakipanx yapuchirinakax sapa kutiw uma pist 'atapatx suyt 'ayataxi.	contradiction	ayr
Estados Unidos markankir walja jach'a markanaka, uka auto apnaqiristi janiw inglés arux sum yatkiti.	Conductor-ax inglés arut arxayt'iwa.	contradiction	ayr
Akax yakō kadem jayankir uma phuch 'unakapat juti, sasaw mä tatax arsüna.	Uywatapasti wali suma uñnaqt 'an warmïnwa.	contradiction	ayr
Jank 'akiw purinkta, mä juk'a qhullirt'ata.	Nayax janipuniw uk lurkti.	contradiction	ayr
Jïsa, uk lurañax janiw ch'amäkiti.	Ukax wali ch'amakiwa.	contradiction	ayr
(Jupanakan sutinakapx uñt 'ayapxasmawa) Washington Post ukat New York Times ukan jach'a laphinakan qilqt 'äwinakap wasitat uñt 'ayañataki.	"""The Washington Post "" ukat ""The New York Times "" uka qilqatanakax paylläwimpikiw qullqichasipxi."	contradiction	ayr
Nayax amuyañaxawa khä qhipa lurt'äwix mä k'añaskun apanaqt'atapaxa, naya pachpaw apnaqta, janiw yatiskti kunjams luratax ukxata nayax parlt'asktwa yaqha jan uñt'at jaqinakat	Kuntix jupanakax lurapki uk nayax yatiraktwa.	contradiction	ayr
Caadán sat chacharux phunchhäw utjatapax wal llakisiyäna, ukampis soldadonakapax janiw kunsa kamsapkänti.	CA'daan jilatajj qollqe toqer sarañwa wal munäna.	contradiction	ayr
Madril markan wali uñt 'atäki ukasa, waljaniw jan uñt 'apkiti.	Chhaqhataynawa, janiw Madrid markan wali suma chiqax utjkiti.	contradiction	ayr
Jumax nayampipunïsktawa.	Kunapachatï munkta ukhax janiw purinktati.	contradiction	ayr
Jan axsarir turista tamanakaw jupanakamp chikachasipxi, jupanakax yatiñan jaqinakat sipan juk 'amp jach'aptatäpxiwa.	Qhiparusti, juk'a juk'a jaqinakaw sarapxaraki.	contradiction	ayr
Carboneras markatpacha, thakhix 41 km (25 millas) ukch'a jalsurakiwa, jan quqanakani, ch'axwañ uraqinakanjama.	Jan walt'awixa, najar markaxa, janiw kuna thakhis khuskhachixiti.	contradiction	ayr
Jilïr isla del grupo ukax Rhodes satawa (jupasti Berlitz Guide de bolsillo ukan uñt'atarakiwa), ukampirus yaqhanakax kos ukat patmos ukanakarakiwa.	Rhodes uksax uka tamanx mä jisk'a islawa.	contradiction	ayr
Uka arunakax utjäwiruw puri.	Arunakas janiw ist 'askänti.	contradiction	ayr
Pusi sub-templos zen de Daitoku ukanxa, wali suma panqar yapunaka, utanaka, ukhamarak artefactos ukanakaw utji.	Kimsa jisk'a templonakaw utji, ukansti suma panqar uyunaka, utanakamp kunaw utji.	contradiction	ayr
Yatiyäwi yatiyawinaka	Ch 'amañchiri tamanakax janiw kuna yatiyawinaksa churañapäkiti.	contradiction	ayr
Jumax uka kipkarakiw tuktaxa, ukampis janiw yatiskti.	Jumax janiw republicanökasmati.	contradiction	ayr
Inas uka aruman latín arur jaqukipapxchispa, jan ukax jan kuna arumpisa.	Uka toqetjja janiw kunsa mayjtʼayapjjañamäkiti.	contradiction	ayr
Ukampirus uka conservadores relativamente honestos jupanakax jaytjapxiwa taqi uka jach 'a challwanakaruxa.	Aka conservaduranak taypinxa janiw maynis chiqapar sarnaqirix utjkiti.	contradiction	ayr
Aka uraqin sarnaqäwipat yatxatañäni.	Uraqisax wali ch 'amanwa, ukatx wali uñt 'atawa.	contradiction	ayr
Ukampirus suma qullq jikxatañatakix, kunayman aljañ utanakar mantasin, yaqhip aljañ utanakanx mayja aljañaw wakisi.	Taqpach aljañ utanakanx pachpak aljañ yänak aljapxi.	contradiction	ayr
Aka putux Sedequías ukan putupjam uñt 'atarakiwa, kunjamti Sedequías reyimpi ejercitopampix 587 a.C. uka maran Jerusalén markan jark'aqt'atapat jaltxapxatayna uka tuqit amtasi.	Sedequías reyix Jerusalén markan apnaqäna.	contradiction	ayr
Mä jach'a nina jamach 'ix utjapxitu ukatx turkakipañaw wakisxi, ukatx akax tukjañaw wakisxi kunalaykutix janiw wawanakasa, q 'añu t 'unanakasa ukat ukjamarak yaqha yänakas apanaqañjamakiti ukatx tukjañaw wakisxi ukatx wali kusisitapxtwa	Jiwasanakax ninan jamach 'ipjamakiw jakapxtanxa, ukat ukampix wawanakansa sarnaqapxtanwa.	contradiction	ayr
Ukhamächi ukasti, ¿ janit mä kutix qillqatäki uka arunakamp yant 'ktasti? ¿ Janit uka qillqatäki uka arunakamp yant 'ktasti?	Janipuniw kunapachas pantjasitaxat llakiskti.	contradiction	ayr
1835 maranxa, khaysa Sikkim uksa markana rajá satirixa, khaysa britanicanakar jaytxañatakiw ch'axwapxäna.	Sikkim markax 21n patak maranakanx britaniconakar jaytawayataynawa.	contradiction	ayr
Jïsa, kunjamtï jumax lurkta ukhama.	Janiw ist 'irïkti.	contradiction	ayr
Ukampirus nayax walja kutiw yatxatat sarnaqaskta kunatix akatjamat radion utjki uk ist 'asa.	Radiox mä estacionaruw chimpuntitu.	contradiction	ayr
Jumax uka tuqit llakistaxa, ukax paypachaw sañ muntamxa:	Mä historiaw llakisiyätamxa, janiw kunatakis askïkiti.	contradiction	ayr
Jïsa, janïr purinkipan jank 'akiw jikxatañ munirista.	Jupanakax purinipkani ukkhaw nayax jupanakar tumpt 'ir sarä.	contradiction	ayr
Nayan chachajax mä juk'a qullqi apthapiwinakaw utjitu, ukampis aka tamax janiw ukham lurkiti, nayax muniristwa uka tamax utjchi ukjax mä juk'a qullqi apthapiwinak utjchi ukjax janiw ukham lurkiti, ukampis aka tamax utjchi ukjax janiw ukhamäkiti	Chachajax janiw kuna qullqinïkisa, ¿ ukat kunampis qalltapxaspa?	contradiction	ayr
Ikiñanaka, qunuñanaka, qunt 'äwinaka, akawjanakanwa, Washington markanxa, akawjanakanwa, akawjanakanwa, akawjanakanwa.	Washington markax janiw kunatakis askïkiti.	contradiction	ayr
Jïsa, wali askiwa jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas jisk'a kunkamas.	Janipuniw kunapachas jisk 'a pantalonak uchayasipkti.	contradiction	ayr
Slim-ax mä juk 'a p 'iqi ch 'ixintäna.	Ukspachaw Slim jaqix qunt 'asisin uñch 'ukïna.	contradiction	ayr
"3 jiskt 'i: ""¿ Kuna juk 'ampis aka qillqamanx k 'ariwa? """	3 jupax janiw libropan ficticianakat llakiskänti.	contradiction	ayr
Nayax wali jayllirinak ist 'ta, wali jayllirinak autojan ist 'ta ukat nayax wali jayllirinak ist 'ir jaqïtwa, janiw aliq jayllirinak munkti, ukampirus nayax wali jayllirinak ist 'irista	Kuntix nayax ist 'kta ukax janis khitis ist 'kaspa ukhamawa.	contradiction	ayr
West-ax Bradley-n amuyunakap qillqt 'aspa ukax wal mulljaspa.	West jaqin uka qillqat apañapax janiw nayatak ch 'amäkaspati.	contradiction	ayr
Taqi qillqatanakasa, qillqatanakasa suma uñakipatäñapawa.	Janiw kuna qillqatanakasa, waraqatanakasa imañax wakiskiti.	contradiction	ayr
¡Jichhax jan juk'amp arusipxamti! - sasa. Jupasti ch'ijmt'asisaw uraqir alt'äna.	"""'¡Jank'akiw mayachäwinakax utjani! '"" sasaw jupax uraqir liwnuqti."	contradiction	ayr
Michelangelo-n pä esclavonakapa; Leonardo Da Vinci-n k 'achachat Mona Lisa-pa (la gioconda) ukjamaraki uka k 'achachat Virgen de las rocas-pa; Tiziano-n k 'achachat warmipax umañ utana; uka chuym ch 'allxtayir awkimp allchhipampix.	Michelangelox dibujo lurañat sipansa, pintura lurañarukiw juk 'amp munäna, janipuniw kunapachas escultura lurirïkänti.	contradiction	ayr
Jaqinakasti uka jaqit khuyapt 'ayasxapxänwa.	Jaqinakax jupar uñisipxänwa.	contradiction	ayr
¿kunas jach'a yatiqañ utanxa jumatakixa?	Jumax janiw jilïrïktati.	contradiction	ayr
Kunjamatixa organismos ukanakax sistemas de información ukanakxa uñstayapxaraki, ukanxa costos ukat rendimiento ukanaka uñstayañataki, jupanakax amuyapxarakiwa, kunjamatixa datos ukanakaxa mä base de datos ukanaka uñstayañataki, ukatxa juk 'ampi nayraru sartayañataki.	Agencianakajj janipuniw kunjamatsa rendimiento satäkis ukanak yatiñatakejj sistema de información apnaqapkiti.	contradiction	ayr
Mannings yatiqañ utax (1738 maran utt'ayata) wali uñt'atawa, ukax nayrïr colonial estilo lawat lurat jach'a utanakap katxäsiskakiwa.	Mannings yatiqañ utan jach'a utapax cemento ukamp askichataw uñjasïna.	contradiction	ayr
Mä qawqha masinakan irnaqir masinakaw utjitu.	Janiw kuna aljañ yänak lurir jaqirus uñt 'kti.	contradiction	ayr
Nayraqatxa, 1, 3, 6, 9 t'aqa taypi qillqatanakaruw saraksna, uka qillqatanakasti, 1, 3, 6, 9 t'aqa taypi qillqatanakawa, waranqa waranqanakana, suma qillqatanaka taypi qillqatanaka taypi qillqatanaka taypi qillqatanaka taypi qillqatanaka taypi qillqatanaka.	Qillqatanakax waranqanakaw uñsti.	contradiction	ayr
Aka sitio web ukax base de datos de investigación, bibliografías personalizadas ukat artículos de texto completo ukanakampiw yanapt'i.	Jilat kullakanakax qillqt'at qillqatanakaruw mantañ yatipxi, ukampirus janiw base de datos de investigación ukar mantañ munapkiti.	contradiction	ayr
Wawaxax janiw nayampïkxiti, sarxarxarakiwa, ukham sarnaqatapampix wal kusista.	Janipuniw kunapachas phuchhaxar parlkxäti, janiw panpachanix sum apasipkiristti.	contradiction	ayr
Nayraqatxa, lankhu charampiw p 'iqit ch 'iyjapxitu, ukat pulmonar usumpiw usuchjapxitu.	Nayax walipuniw jikxatasïyäta.	contradiction	ayr
Jupasti ch 'iqäx amparaparuw espadap aytäna, ukat p'iqi khariqasïna.	Espadasti wali jach'änwa, ukatwa paypach amparampi khiwinuqaña wakisïna.	contradiction	ayr
Ukampis janiw ukham jaqer uttʼayañajj wakiskiti.	Norma de Nombramiento y Asesoría Independiente ukax juk 'amp jiltañapawa.	contradiction	ayr
Walja uraqinakaw yapuchata; huertonakampi, suma uywa awatisiñ chiqanakampiw wali suma quesempi, vinompi lurata.	Uraqix ch 'usa wasarar tukutawa, janiw kuna achunakas achuntaskiti, janirakiw uywanakas utjkiti.	contradiction	ayr
Adrin-ajj callachipampiw sayantäna.	Adrin chachajj arma apsusinjja, jiwayänwa.	contradiction	ayr
Raleigh wali sumawa nayan sutix Mary satawa	Nayan sutixax Betty Sue satawa.	contradiction	ayr
Felipe IV reyimpiw irnaqäna, jupax wali suma amuyumpiw pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam pinturjam	Rey Felipex jupar jaqsuyänwa, uka pachan España markan jan wali jaqit uñt 'atätap layku.	contradiction	ayr
Cape Cod uksa quta thiyankirjamawa.	¡ Las Vegas markankasktawa!	contradiction	ayr
Isla de Benidorm, mä jach'a isla qalar uñtata, Benidorm jach'a quta thiyanakat uñjasi, ukax mä sanctuario de aves no oficial ukhamawa, janiw khitis ukan jakkiti, mä bar de verano ukakiw utji.	Khaya pachax Benidorm uksan vacaciones ukanx wali irnaqatawa.	contradiction	ayr
Jesús Estación ukawjanax mä jisk'a santuariompiw chimpucht 'atawa, Marian lawat lurat mä jisk'a uñanchäwimpiw mä vidriot lurat isimp uchatawa.	Kawkïr santuariotix uka chiqan jikxataski ukax mä lawat lurat cruzankiwa.	contradiction	ayr
Janipuniw kunapachas ukham siskistati.	"Jumax nayaruw sistaxa: "" Walikiw "" sasaxa."	contradiction	ayr
"""Janiw"" sasaw arsusïna."	Jupax janiw kuns arskänti.	contradiction	ayr
Ukampirusa, aka panqar uywax sumakiptayatawa, wali sumakiptayatawa, aka pachax mä jach 'a panqar uywamp sasiwa.	Uka panqar yapux janiw khiti ingles jach 'a markan utjir panqar yapupjamäkisa.	contradiction	ayr
Mayni gentrificación ukax restaurantes ukanakan siqipawa, kawkirutix kayuk saririnakax puripxi Capela do Corpo Santo (Capilla del Cuerpo de Cristo) ukar puriñkama.	¿ Ukan iglesianakax utjiti?	contradiction	ayr
Chiqasa, uñt 'atasa, chiqapasa, jichha pachax janiw walt'ayaskxiti, juk'a aljañ utanakax juk'a juk'aw jilxattawayi, ukatx jak'utanakas juk'a juk'a turkakiptawayxarakiwa.	Qullqi aljañax juk 'akän ukasa, janiw mayjt 'ayirjamäkänti.	contradiction	ayr
Ukampix janiw kuna jan walsa lurapkiristti, jan ukasti usutanakar qullañakiw wakisispa.	Asnonakar qullañatakis wal ch 'amachasim, castrasiñax jaqitakix walikïskchi ukasa.	contradiction	ayr
Qhiparusti, Israel markan amtanakapaxa, Kosovo markanxa, Holocausto amtanakapawa, ukampirus yaqha kastawa.	Israel-an Kosovo-xat jan wali amuyunakapax janiw holocausto ukampikiti.	contradiction	ayr
Festival de Música de julio phaxsit saraqataruw Festival de Renacimiento ukax llumpaqa phaxsin lurasi.	Juyphi phaxsinsa, llumpaqa phaxsinsa janiw phunchhäwix utjkänti.	contradiction	ayr
Inas jupanakax yanapt 'apxarakchispa.	Juman sapak sarañamatakiw achikt 'asiñ munsma.	contradiction	ayr
Programa apnaqirinakax jan walt'awinak nayraqat uñt'apxañapawa, jan uñt'awinak jan yäqapxañapawa, janirakiwa qhipa yant'awinakaruxa jaysapxañapakiti kunalaykutix uka yant'awinakax nayrar sartayaspa.	Programa apnaqirinakax janiw kuna jan walt'awinakas utjatap nayratpach yatxatapkiti.	contradiction	ayr
Chiqpachansa jan waliruw puriyi.	Janiw kuna jan wali luriris utjkiti.	contradiction	ayr
Air Daily, jichhakamax, irnaqirinakaruw yanapt 'i, jan walt 'awinakar saykatañataki, qhanancht 'at sarnaqañ kamachinaka, ukhamarak alakipawinaka	Uka irnaqawisti janiw kunapachas suma q'umacht'ataxiti.	contradiction	ayr
Aka machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat machaqat macha	Jupanakax aljañ yänak aljañ yatipxi, ukatx juk'a yänak lurañatakix sapa kutiw yanapt'asipxi.	contradiction	ayr
Jichha marax Lincoln Center Alice Tully Hall ukanw jayllint'awayi, janiw Avery Fisher Hall ukanx jayllint'awaykiti.	Jupax janiw Alice Tully Hall ukan jayllt 'añ munkiti.	contradiction	ayr
Jichhürunakanjja, janiw yaqha cheqanakar sarañasäkiti ni New Orleans markar sarañasäkiti.	New Orleans markax jan uñt'at markawa.	contradiction	ayr
Sitio uksanx piramidax imhotep uka arquitectow lurayatayna Dyeser reyitak c2670 a.C. marana.	Piramida de paso ukax Frank Lloyd Wright uka arquitectow luratayna Stephen King juparu apnaqañapataki.	contradiction	ayr
Akawjaruw biguine ukax qalltawayi ukatx jichhakamaw ukankaski, ukampirus kunayman caribeño ritmos ukanakax wali uñt 'atawa ukatx juk 'amp phust'ayirakiwa.	Akax janiw kawkitï jach 'a utax qalltkän ukäkänti.	contradiction	ayr
Wilsonan utapax 331 Fulton St. 600 Suite ukankiwa, uka utanx pisin jakasirinakaw jakapxi Peoria, Tazewell, Woodford, Marshall, Stark uka markanakanxa.	Wilson jaqix sinti muniri, sinti munañani jaqiwa.	contradiction	ayr
Agencia para la Política y la Investigación de la Salud (APS), Centro de Servicios Generales de Salud, Investigación Interna, Departamento de Salud ukat Servicios Humanos de Estados Unidos (Departamento de Salud ukat Servicios Humanos de Estados Unidos).	Comisión Federal de Comercio ukankirinaka.	contradiction	ayr
Aka chiqatxa, thakhix yaqha 15 km (9 millas) sarañaniwa, khaysa Salinas de la Mata, Torrevieja markakama.	Jichhat uksarusti janiw kawksarus sarkxapxaniti.	contradiction	ayr
Uh-uh uka kipkarakiw aka thaya pachanakax aka thaya pachanakax sañ muntwa janiw yatipktati jallupachax wali junt'u urunakänwa jallu qallta phaxsinsa, chinuqa phaxsinsa	Janipuniw jallupachan junt 'u urunakax utjkiti.	contradiction	ayr
"Jonasti wal muspharäna, ukat jiskt 'asirakïna: ""¿ Walja jaqinakaw uka suma amtäwinakapamp jiwarapxixa? "" sasa."	Jonasti mayninakan jiwarapxatap janiw yäqkänti.	contradiction	ayr
Ukansti suma q'umantat quri ñik 'utaw uñsti, uka ñik 'utax Virgenan p'iqipat mä velor uñtat saraqaniraki, ukax mä aski waxt'äwiwa.	Virgenan p 'iqipxa q'arsusipxataynawa.	contradiction	ayr
Uh, si no estoy totalmente rígido en el tema sólo creo que debería ser usted sabe que no debería ser tan fácil de hacer	Uka lurañax wali ch 'amawa.	contradiction	ayr
Uta manqhan mä garajaw utjitu.	Janiw utax utjkituti.	contradiction	ayr
Uka manqhanx monasterio Christodoulos ukan utt 'ayiripan mä sarcófago de mármol ukamp jikxatasi, 1190 maranakatpach uñtasitanakamp kunaw jikxatasi.	Uka manqhansti janiw kunas jikxatañjamäkiti jan ukasti mä janq 'u pirqaw utji.	contradiction	ayr
Templo de Philae ukax Egipto markan perlapar uñt 'atänwa suma uñnaqt 'atapata ukhamarak suma qamañ utjatap layku.	Philae templojj mä suma templönwa, ucampisa mä jan wali chekaruw sayt 'asi.	contradiction	ayr
Inas qhipat jawst'irisma, waraqt'äwi tukuyatatxa. Chiqpachansa, phisqha minutunakaw futbolxat parlt'atätan. Janiw amtaskti.	Mä juk 'ampjarux anatañxat parlt 'apxirista.	contradiction	ayr
Jisk'achasiñxat jan wali amuyunak utjatapatxa, jan walt'awinak utjatapatxa, jan walt'awinak utjatapatxa, jan walt'awinakax utjatapatxa, jan walt'awinakax utjatapatxa, jan walt'awinakax utjatapatxa, jan walt'awinakax utjatapatxa.	Jichhax jan walt'awinak utjkipanx janiw kuna jan walt'awinakas utjxiti.	contradiction	ayr
Aka uñakipañaw ISC ukarux juk'amp irnaqayani, kunjamti phuqhapki ukhamarjama, ukjamarak yanapt'asirinakapar chiqap yatiyañapataki.	LSC ukankirinakan jan wali luratanakap uñakipañaw jan walt'ayaspa.	contradiction	ayr
Qullqi mayt 'asïwinakat jark 'aqañax, niya kimsa tunk waranq waranq dolaraw jilxattaspa, jichha pachankir qullqi mayt 'asïwinakat arskasa.	Aka t 'aqax janiw qullqichäwix jilxatayaskxaniti, kunalaykutix categorías preferenciales ukanakaw chhaqtayatäni.	contradiction	ayr
Machaq isinak alasiñ munstaxa, Carreau du Temple ukar saram.	Carreau du temple ukax jayp 'u pachanakiw jist'arasi.	contradiction	ayr
Armeríax uraqpachan wali suma apthapt 'at yänakaniwa.	Armeríax janiw kunampis phuqhantatäkxiti.	contradiction	ayr
Mä pachanxa aka clase media ukar amuyt 'asisaxa, jan kuna axsarañanakas utjatapatxa aka moral de la mano uka tuqita, janiw amuykiti moral de la clase media ukax janiw ch'axwaykiti aka inclusión ukat igualdad uka amuyunakaruxa jichha pachanxa.	K'achachila ayllun jakasirinakax janiw mayacht'asiña, kikipt'asiña ukanakar yäqapkiti.	contradiction	ayr
Sapa mayni aljañ utan aljañ yänak luririnakax jupanakpach qillqantapxaspa ukjax, ¡ay!	Uka qhathunak luririnakax google ukankañapawa.	contradiction	ayr
Penn-ax uka pachparakiw maysat maysar uñtayi, Democrata-nakan suburbio-nakan amuyunakap uñstayasina, jupanakax juk 'amp suma yatiqañ utanaka, k 'uchirt'añ utanaka, k 'uchirt'añ thakhinaka, ukhamarak wila masinakan amuyunakap ch 'amañchañ munapxi.	Penn-ax mä machaq Partido Republicano uñstayi.	contradiction	ayr
Jajajjaja, eso es terrible.	¡ Ukasti wali muspharkañawa!	contradiction	ayr
Jichhürux, taqi ukanak yatxatasinxa, mä amtaruw purta, uka amtar jan puriniñapatakix Diosat mayisïyäta.	Jichhürun yatxatatanakaxax janiw kunatakis askïkiti.	contradiction	ayr
Mailer New York markankirix angelanakaruw qillqatanak apayaspa.	Seattle markan mä correo apnaqirix Portland markaruw correo apayaspa.	contradiction	ayr
Ukasti inti jalsut jark 'aqañatakïniwa, ukampis uka jark 'aqañax utjiwa.	Janiw kunas aka Cordón satäkis ukxa jark'aqkaspati.	contradiction	ayr
Ukasti jumatakix mä mara qullqikïskiwa.	Jumax janiw qawqha qullqtix mä maratak jikxatkäta uksa yatktati.	contradiction	ayr
Janiwa, aka maran uka kipka chawllanakax utjkanti.	Jichhax janiw chawllax llakiskxiti.	contradiction	ayr
Jamp 'at 'asïwi taypinxa, Hitler chachar yanapisasasti, jisk 'a chupikapas jisk 'a ch 'ankapar chint 'as chint 'asaw, Buchanán chachax, uñisiripax wali suma jaqiwa sasinw amuyasi, jupax janiw kun lurañsa munkiti jan ukasti Europa markar atipjañwa muni, ukat taqi judionakar jiwarayañatakiwa.	Hitler-ax janiw kun lurañsa munkänti jan ukasti Europa-r atipjañwa munäna ukatxa taqi judionakaruw jiwarayañ munäna, Barry-jam amuyata.	contradiction	ayr
Ukampis ajay tuqin jach'a yatichirïkasinsa, jan suma jaqit uñt'atäkchi ukasa, jupax aski jaqit uñt'atawa.	Jupax janiw kuna ajayun jaqïkisa.	contradiction	ayr
Sleyman the Magnificent, pä tunka phisqan maranitaynawa, jupax 46 maranakaw (1520-1566) marka apnaqäna, ukax Otomano markanx wali jach 'a marka apnaqäwïnwa.	Salomón reyix waynatpach reyi qunuñar qunt 'asïna, kimsa mara qhipatsti jiwxänwa.	contradiction	ayr
Mä suma qhananchawinxa, mä juk'a mitología ukamp chikañchasitawa, korea qillqirinakax Japón markanx puripxi niya 400 marana, ukhaw Japón markax Corea del Sur markanx mä jach'a ch'axwañ utjatayna.	Japón markanjja, 600 maranwa coreonkir escribanakajj reyin utapar puripjjäna.	contradiction	ayr
