premise	hypothesis	output	language
(Ikatu eikuaa umi téra umi anuncio de página henyhêva cjm ojoguáva Washington post ha New York times omoherakuã jey haguã umi artículo Ruddy mba'éva.)	The Washington Post ha The New York Times ojapo ivirurenda opavave subscripción-gui.	contradiction	grn
I think the last one we've done in a car has to do with the transmission myself and I'm not sure what it was they did I'm talking about another ignorance ha ha ha ha ha ha ha ha ha	Ikatu amombe 'u ndéve añete mba 'épa ojapo hikuái pe mba 'yrúpe.	contradiction	grn
Ca'daan ndojepokuaái pe ñembosarái koty guasúpe, hákatu pe aty guasu oheja chupekuéra ha'eño.	CA'daan oguerohoryva 'ekue oho salón de apuestas-pe.	contradiction	grn
Jepénte ha'e peteĩva umi tenda ojehecharamovéva Madrid-pe, heta tapicha ohóva upépe ohecharamo.	Ojeperde ndojeguerekóigui tenda iporãvéva Madrid-pe.	contradiction	grn
Akóinte reime che ypýpe.	Araka 'eve ndereimái ko 'ápe aikotevê jave.	contradiction	grn
Heta jey omoirû chupekuéra umi turista ipy 'aguasúva, ohupytýva hetave aplauso umi profesional-gui.	Umi turista sa 'i oike chupekuéra.	contradiction	grn
Carboneras-gui, carretera oviaha 41 km (25 millas) yvy gotyo ohasávo barrido, páramos ndorekóiva yvyramáta heñói haguã.	Ñembyasýpe, carbonera ha najar ndorekói tape ombojoajúva.	contradiction	grn
Isla tuichavéva ko grupo-pe ha'e Rhodes (oñemohendáva guía berlitz de bolsillo imba'éva), katu oĩ avei kos ha patmos.	Rhodes ha 'e ypa 'ũ michĩvéva ko atýpe.	contradiction	grn
Umi ñe 'ê oĝuahêkuri hógape.	Umi ñe 'ê ni noñehendúi va 'ekue.	contradiction	grn
Irundyva umi sub-templo zen daitoku-gua, ohechauka jardín, óga ha artefacto iporãitereíva.	Oî mbohapy subtemplos oikuave 'êva magnífico jardín, óga, ha artefacto.	contradiction	grn
Marandu ñemoherakuã.	Umi grupo de presión ndorekói omomarandu haguã mba 'eve.	contradiction	grn
Aimo 'ã ikatuha ere nde ha 'eha avei independiente, pero ndaikuaái.	Ndaikatúi ere ere nde ha 'eha republicano.	contradiction	grn
Térã ikatu omyengovia pe pyhare pehẽngue latina rehe - Oh, ndaikuaái, peteî mba 'e hekope 'ÿva.	Ndovaléi omoambue mba 'eve ko aty guasúre.	contradiction	grn
Ha katu ko 'ã conservador relativamente honesto oheja opavave umi pescado gordo ojere pe anzuelo-gui.	Ndaipóri ko 'ã conservador-kuéra ha 'éva relativamente honesto.	contradiction	grn
Ohesa 'ỹijo ñande planeta rembiasakue ñande yvy dinámica-pe.	Ñane yvy dinámico ha 'e tenda ojekuaavéva café rehe.	contradiction	grn
Ohupyty hag̃ua pe precio iporãvéva, jepénte, oikuaa va 'erã mercado ohekávo opáichagua tienda ha ojerurévo precio pieza ojojoguáva.	Ko 'ã tienda oikuave 'ë umi artículo ojojoguáva peteî precio-pe.	contradiction	grn
Ko ka'aguy ojekuaa avei Sedequías cueva ramo, ogueromandu'ávo mba'éichapa rey Sedequías ha ijehérsito okañy Jerusalén ñorairõgui ary 587 a.C. rupi ko ruta rupive.	Mburuvicha guasu Sedequías ha'eva'ekue mburuvicha guasu Jerusalénpe siglo II a. C.	contradiction	grn
Ore roguerekova'ekue peteî pájaro de fuego ha ore roguerekova'ekue peteî cambio, roimo'ã ore romboykeva'erãha ko'ã mba'e porque ndaipóri mba'e ikatuva'erã ore rombohasa mitãnguéra ha basura ha umi mba'e upévagui ore romboykeva'ekue ko'ã mba'e ha roime vy'ápe hendive	Ko 'ágã peve jaguereko guyra tatarendy, ha jajapóva, mitãnguéra ndive jepe.	contradiction	grn
Ha, péicharamo, ndohekáiva 'ekue pe ñe 'ê peteî térâ mokôi jey pe techaga 'u rembe 'ýpe, térâ peteî techaga 'u recambio-pe, jahechápa noîporâi?	Araka 'eve ndachepy 'apýi ojehai vai ramo.	contradiction	grn
Ary 1835-pe, rajáha reino Sikkim-pegua, upérõ isãsóva, ojejopy ome 'ẽ hag̃ua Darjeeling umi británico-pe.	Reino Sikkim oñeme 'ê británico-kuérape siglo XXI-pe.	contradiction	grn
Si, upe nde rejapóva, si.	Ndaikuaái mba 'épa he 'ise.	contradiction	grn
Ha uh, pero ahasa tiempo suficiente pe escaneo ahendúvo mba'e oúva radio-pe ndaikuaái	Aguereko che radio permanentemente oñemoîva peteî estación-pe.	contradiction	grn
Oiméramo ndepyʼapyeterei upe istória rehe, upéva heʼise mokõi mbaʼe.	Rejepyʼapýramo peteĩ istória rehe, upéva ndeʼiséi mbaʼeve.	contradiction	grn
Añetehápe, añeha'a ag̃uahẽ ko'áñope ha'e ou mboyve.	Añeha 'ã aha upépe ha 'ekuéra oĩ jave.	contradiction	grn
Aguereko che ména compañía ojapo michĩmi beneficio compartido pero che compañía ndojapói ha añetehápe che gusta si mi compañía ha'e oñeme'ẽ marandu porã beneficio sapy'ánte pero ndaha'éi parte uh... mba'e disponible avei	Che ména empresa ndoguerekói beneficio, ¿ mba 'éicha ikatu oñepyrû hikuái?	contradiction	grn
Umi tupa, apyka ha banco-kuéra ha 'e tenda tembiasakue opytu 'uhápe Washington ryepýpe.	Washington ndorekói mba 'eveichagua significado histórico.	contradiction	grn
Iporâiteva'erâ ikatúha reipuru short, ko'ê ko'êicha haku jave	Araka 'eve ndajahejái ojeporu pantalón mbyky.	contradiction	grn
Slim omondýi iñakã mbeguekatu.	Slim oguapy ha omaña.	contradiction	grn
3 omopu 'ã porandu mba 'épa hembiapokue ficticio.	3 ndojepy 'apýi umi aspecto ficticio orekóva iñaranduka.	contradiction	grn
Añetehápe, ahendu hetave música popular ahendu akóinte che mba 'yrumýime ha upévare añeñandu che peteĩva umi tapicha omoambuéva heta estación ndaguerohorýigui umi comercial ha katu ahendu hetave música popular ha	Purahéi ahendúva ha 'ete peteî purahéi avave oguerohorýva.	contradiction	grn
Ojekuaáta West omoherakuãva Bradley posición política.	Ndarekói mba 'evéichagua problema West ohai ramo póliza.	contradiction	grn
Opaite kuatia ha registro oñemotenondeva 'erã ha oñeñongatuva 'erã.	Ndaha'éi opa marandu ha kuatia oñemanteneva 'erã.	contradiction	grn
"""Ko'ágã ndaikatuvéima ja'e mba'eve!"" ""Ha'e ojere ha hete opu'ã mbeguekatúpe yvýpe""."	"""Oîta katuete conjunción!"" oñesû yvýpe."	contradiction	grn
Espléndida escultura umi mokõi tembiguái Miguel Ángel mba 'éva; Leonardo Da Vinci mombe 'upyrã mona lisa (la gioconda) -gui, ha avei kuñakarai virgen sublime umi itakuágui; kuñakarai ticiano mba 'éva baño-pe; karai tuja ha iñemoñare ghirlandaio.	Michelangelo ohayhuve pintura dibujo-gui, ha araka 'eve ndojapói escultura mba 'eveichagua.	contradiction	grn
Umi hénte ombyasy pe kuimbaʼépe.	Tapichakuéra oenvidia pe kuimba 'épe.	contradiction	grn
Mba'épa nde tuichavéva mbo'ehaópe nde ah super ohendu porã ha re finalizando ko arýpe huh	Ndorekói peteĩ tuja.	contradiction	grn
Umi organismo omoheñóivo sistema de información ome 'êva chupekuéra dato costo ha rendimiento reheguáva, ojuhu umi hecho ome 'êva chupekuéra peteî base ombojoajúva esfuerzo ha omohendáva rendimiento.	Ko'ã agencia araka'eve ndojuhúi mba'éichapa ohupytýta dato de rendimiento oiporúvo sistema de información.	contradiction	grn
Tenda oñemomba'eguasuvéva ha'e mbo'ehao mannings (oñemopu'ãva'ekue 1738-pe), orekóva edificio de madera estilo colonial.	Ko'ã edificio mbo'ehao mannings-gua oñemyengovia cemento rehe.	contradiction	grn
Sí, sí, areko heta mba 'e.Areko che angirûnguéra orekóva tienda de maquinaria ha oguereko heta.	Ndaikuaái mávapa oreko peteî tienda de maquinaria.	contradiction	grn
Ko'ágã ñaguãhẽta umi columna oĩva ta'ra 1-pe. Columna (I), (III), (VI) ha (IX), ojeheróva volumen, millones-pe, opaite umi pieza de correo de primera clase oñemomichĩva sector-pe g̃uarã ary 1987, 1990, 1993 ha 1997-pe g̃uarã.	"Kuatiarogue ojoajúva "" Mil "" rehe"	contradiction	grn
Ko tenda ome 'ẽ umi miembro-pe acceso umi base de datos de investigación, bibliografía personalizada ha umi artículo de texto completo oñe 'ẽva contabilidad ha gestión financiera rehe.	Ko'ã miembro oreko acceso artículo texto henyhêva, pero ndaha'éi umi base de datos de investigación jepénte ko tenda.	contradiction	grn
Che rajy ova pe ógagui ha koʼág̃a aiko porãve hendive.	Araka 'eve nañe 'êmo 'âi che membykuña ndive, ndaikatuvéima jaiko oñondivekuéra.	contradiction	grn
Ñepyrûrâme aguereko peteî mba 'e vai che pyti 'ápe ha upéi ha 'ekuéra ome 'ê chéve peteî mba 'e vaiete.	Che akóinte añeñandu porãiterei.	contradiction	grn
Oity pe kyse ijyvatevehápe ha oñekytĩ ijyva.	Pe espada ipohýi va 'ekue ha oñesũva 'erã mokõive pópe,	contradiction	grn
Pero norma omonéîva abogado independiente ndikatúi tuichaháicha.	Norma nombramiento ha asesoramiento independiente ojeipysoveva 'erã.	contradiction	grn
Heta yvy oñemitỹ; ka'avo ha mymba ñemongakuaa renda hypy'ũva omotenonde sidra mbarete ha queso picante.	Ko yvy niko ka 'aguy ha ndaijyvyrái oñeñotỹ hag̃ua yva térã oñongatu hag̃ua mymba.	contradiction	grn
Adrin ojoko chupe itaju reheve.	Adrin oguenohê ikárgope ha oity chupe.	contradiction	grn
Raleigh iporâva che réra ha'e Mary	Che réra hína Betty Sue.	contradiction	grn
Oñemomba 'e guasu rey Felipe IV ndive ha oiko chugui peteĩ pintor de corte iñarandúva ha, añetehápe, artista español tuichavéva edad de oro-pe.	Rey Felipe omosê chupe ha 'égui artista español ivaivéva upérôguare.	contradiction	grn
Iporâ, upéicharô nde ha 'eha peteî yvyguasu Cape Cod-pe.	Nde reime hína Las Vegas-pe.	contradiction	grn
Isla de Benidorm, peteî ita ojoguáva kuãirũ peteî isla ikatúva ojehecha oimeraêva playa Benidorm-gua, ha'e peteî santuario de aves no oficial, inhabitada excepto peteî bar de verano.	Araro'y ha'e aravo iñemboguatáva vacaciones isla Benidorm-pe.	contradiction	grn
Estación Jesús ojeguereko aldea guive ko punto oñemohendáva santuario michîmi, orekóva peteî figura de madera ymaguare María orekóva peteî estuche de cristal.	Santuario oîva upe tendápe ndoguerekói mba 'eve peteî kurusu yvyrágui ojejapóva añónte.	contradiction	grn
Araka 'eve nde'íri chéve, ha 'ekuérantema he 'i.	Nde voi reñeʼẽma chéve koʼã mbaʼére ha remombaʼeguasu chéve.	contradiction	grn
"""Oñorairô peteî ""no"""	Ha 'e noñe 'êi chupe mba 'eve.	contradiction	grn
Jepémo upéicha, ko yvotytýpe oñeñongatu pe atmósfera encantadora ha py 'aguapýva orekóva umi terreno atemporal peteî casa de campo inglesa.	Ko yvotyty ndoguerekói mba 'eve ojoguáva peteî casa de campo inglés-pe.	contradiction	grn
Ko gentrificación ojehecháva ha'e umi restaurante oguahëva tramo peatonal ohóva capela do Corpo Santo (Capilla del cuerpo de Cristo) peve.	Ndaipóri capilla upépe, ¿ ajépa?	contradiction	grn
Upéicha rupi, popular ha auténtico ha 'eva 'ekue chic ha pe ambiente ko 'ágã oime cuestionado umi alquiler yvatevéva ha cambio de carácter ome 'êva.	Ndaipóri ñemoambue carácter-pe, jepénte renta sa 'i.	contradiction	grn
Ikatupyry ha ndojapói mba'eve ojehecha hag̃ua pohãnohárape g̃uarã [ Castración ] iporãpa peteĩ yvypórape g̃uarã.	Ojapo peteî esfuerzo tuicháva umi burro-kuérape g̃uarã médicamente si la castración ha 'e apropiada peteî individuo-pe g̃uarã.	contradiction	grn
Pe aspecto iporâvéva ha ipaháva ambivalencia Israel orekóva Kosovo-pe ha'e mandu'a holocausto rehe, pero ambueichagua.	Ambivalencia kosovo Israel-gua ndorekói mba'eve holocausto reheguáva.	contradiction	grn
Festival de música jasypokõi jave ha festival renacimiento jasypoapy jave.	Jasypokõi térã jasypoapy jave ndojejapói festival.	contradiction	grn
Oime vaʼerã haʼekuéra ikatu avei nepytyvõ.	Ajeruréta ndéve reho hag̃ua neaño, ndereipotái avave nemomombyry.	contradiction	grn
Umi Director de Programa oguereko razón iporãva ohechakuaa haguã umi riesgo tenonderãite, noñanduporãiva umi incógnita, ha ndojeroviáiva prueba tardía en el proceso rehe ha 'éva vehículo principal oikuaa haguã umi característica de rendimiento del producto.	Ko 'ã directores de programas ndorekói motivo omoañetévo riesgo ko 'ã ára mboyve.	contradiction	grn
Haimete bárbaro peteĩ hendáicha.	Ndaipóri mba 'eve ivaíva upévape.	contradiction	grn
Air Daily, ko'ágã, mano de obra ikatúva omoañete demanda de scr, normas aéreas hesakãva ha mercados	Ko tembiapo araka 'eve ndikatumo 'ãi omoañete norma de aire limpio.	contradiction	grn
Proceso de desarrollo de producto pyahu oikéva punto de decisión clave ha alto nivel ohasa mboyve demostración de producto-pe, ha jey oipyhývo decisión de producción oikotevêva criterio de salida específico oñemopyendáva conocimiento-pe.	Ogueraha producto mercado-pe, ha omboyke umi paso ciclo de desarrollo producto convencional.	contradiction	grn
Ary ohasava'ekuépe, ha'e oiporavo ome'êvo recital Alice Tully Hall Lincoln Center-pe, upéva rangue pe tuichavéva avery fisher hall-pe (ohapejokóvo presentador-pe).	Ha 'e araka 'eve ndohoséi peteî recital Alice Tully Hall-pe.	contradiction	grn
Ha ko'ágã ndoroguerekovéima supuesto ndojogueraháiva ha'eño ore viaje-kuérape, ni ndojogueraháiva ha'eño New Orleans-pe dos veces al año.	Nueva Orleans ha 'e peteî tenda araka 'eve ndoroikeiva 'ekue.	contradiction	grn
Ko tenda oñemomba'eguasúva pirámide de paso omopu'ãva arquitecto imhotep mburuvicha guasu dyeser c2670 a.c.	Pirámide de paso oñemopu 'ã arquitecto Frank Lloyd Wright-pe guarã gobernante Stephen King-pe guarã.	contradiction	grn
Ko'ápe biguine oñepyrû ha ko'ágã peve opyta, ha avei opáichagua ritmo caribeño herakuãitereíva ha ikyre'ÿvéva.	Kóva ndaha'éi oñepyrûhaguépe.	contradiction	grn
Wilson oficina, 331 Fulton St. -pe, suite 600, oservi umi mboriahu oikóva umi condado Peoria, Tazewell, Woodford, Marshall ha Stark.	Wilson ha 'e peteî kuimba 'e ipochyetereíva ha ijeheguíva.	contradiction	grn
Agencia para la política y la investigación de la salud (de), centro de servicios generales de salud, investigación interna, Departamento de Salud ha Servicios Humanos Tetãvore Joapykuéra pegua.	Comisión Federal de Comercio-pe guarã.	contradiction	grn
Ko'águi, tape oguata 15 km (9 millas), ohasávo salinas del bosque, Torrevieja peve.	Ko 'águi, tape ndoguatáiva.	contradiction	grn
Uh-huh ha'ete ku ore ro'y ko'ápe he'ise kuri ro'y ndereikuaaiha ro'y hakuveha jasypakõi ha jasyteĩ	Araka 'eve ndoroguerekói araro 'y jave.	contradiction	grn
Jon oñeporandúmiva 'ekue mboy kuimba 'épa omanókuri ko 'ã mba 'e ipy 'aguasúva iñakãme.	Jon nopenái umi ótro omano vaʼekuére.	contradiction	grn
Ko'ápe ojehecha hi'a sa 'i ha iñakãrague sa 'yju, oguejýva kuñakarai akãgui peteî velo natural-pe, he 'iséva umi rayo oguejýva peteî bendición definitiva yvate guive.	Tupãsy oguereko iñakã karape.	contradiction	grn
Uh, si no estoy totalmente rígido en el tema sólo creo que debería ser nde reikuaa va'erã ndahasýi va'erã ojapo	Ko tembiapo hasyeterei.	contradiction	grn
Areko peteî garaje óga guýpe.	Che ndarekói garaje.	contradiction	grn
Ipype rejuhúta sarcófago de mármol omoheñóiva monasterio christodoulos ha iconos oúva 1190 guive.	Ipype ndaipóri mba 'eve jajuhu hag̃ua peteĩ piso desnudo añónte.	contradiction	grn
Philae tupão ojeikuaákuri Egipto perla-ramo, iporâitégui ha ijerére oîgui heta mba'e porã.	Philae tupâo ha 'eva 'ekue peteî tupâo neporâmbajepéva, ha katu oñemoî peteî tenda ivaietereívape.	contradiction	grn
Mba'e oh ha ikatu ahenói ndeve tapykueve tapykuehoha ipahápe añetehápe aimo'ã ñañe'ẽ hague fútbol rehe cinco minutos ndaikatuvéima chemandu'a	Aimo 'ã ñañe 'ẽma peteĩ aravo pukukue vakapipopo rehe.	contradiction	grn
Oñembohováiva pérdida de confianza ojehechakuaávo ko'ã programa noñe'ẽvéima umi mba'e oîva discriminación ári	Ko'ã programa noñe'êvéima ko'ã mba'e orekóva discriminación.	contradiction	grn
Ko'ã prueba oipytyvõta LSC-pe omoañete hag̃ua hekopete hembiaporã omoañetévo ha oasegura añetépa umi reporte de responsabilidad social ojapóva umi beneficiario-kuéra.	Evaluación ombyai moral ha rendimiento futuro LSC-pe.	contradiction	grn
Ojekuaa ko 'ã nivel de las tasas de interés ko 'ã ára ohóvape, eliminación de las categorías preferentes omoheñóiva un tercio de mil millones de dólares ingreso adicional.	Ndojehechái mba 'evéichagua viru jehepyme 'ê ojeipe'ávo umi categoría preferida.	contradiction	grn
Ñemonde ipyahu ha sa 'íre, ehecha carreau du temple, 3o piso-pe, ojepe 'áva ko 'ê ko 'êre, lunes añoite.	Carreau du temple oipe'a arapokõindy pyharépe añónte.	contradiction	grn
Ko Armería ojehero oficialmente ha 'éva colección iporãvéva ko'ãichagua yvórape.	Armería ojehecha imboriahuha.	contradiction	grn
Ko'ã mba'e ojehúva ko'ã clase media ombotovévo kyhyje orekóva moralidad de las manos oguejýva, ndohechakuaái moralidad de clase media ndojokupytýiha umi valor inclusión ha igualdad ko'ágã omoañetéva.	Kóva clase media ombotove inclusión ha igualdad.	contradiction	grn
Umi productor-kuéra káda sitio-pe ocatalogáva ijehe, upéicharamo yahoo!	Umi productor-kuéra omoheñóiva'ekue ijeheguiete, oîva'erã google-pe.	contradiction	grn
Penn omboguata truco iñambuéva, omoheñóivo umi valores de los suburbios umi demócrata, ojepy 'apýva umi mbo 'ehao iporãvéva ha isãsóva, tape isãsóva, ha tekotevẽva omombarete umi valor familiar tradicional.	Penn omoheñói partido republicano pyahu.	contradiction	grn
Oh oh oh that's terrible	Upéva ndogueroviapái.	contradiction	grn
Ko árape, ore jeporeka rire, aguahê peteî mba 'épe ha añembo 'ékuri araka 'eve ndou mo 'âihague.	Ndahupytýi mba 'eve ore jeporeka rire ko árape.	contradiction	grn
Peteî mailer Nueva York-gua ikatu omondo correo umi ángel-kuérape.	Peteî mailer Seattle-pegua ikatu omoguahê correo Portland-pe.	contradiction	grn
Oñangarekova 'erã pe cordón kuarahy 'ãgui, ha péva ikatu ojejapo.	Ndaipóri mba 'éicha ikatúne oñangareko pe cordón umi mba 'e kuarahýgui.	contradiction	grn
Hetaiterei libra peteî arýpe ndéve g̃uarã.	Ndovaléi ni michĩmi ndéve g̃uarã.	contradiction	grn
Oh, it's just that that turns out to be what the fish like this year huh	Ko 'ágã umi pira ndojepy 'apyvéima.	contradiction	grn
Competencia de trajes de baño aja, oipytyvôvo Hitler-pe omohendávo pe imborayhu'ÿva pe imborayhu 'ÿva, Buchanan oikuaa iñirûnguéra ha 'eha peteî kuimba 'e iporâva ha ndoguerekóiva ambue mba 'e ojaposevéva ha 'e Europa ojuka haĝua judío kuérape.	Hitler ndojaposéi mba 'eve ojagarra haguã Europa ha ojuka mayma judío Barry he 'iháicha.	contradiction	grn
Ha katu pe rol de gurú espiritual peteî candidato orekóva déficit de carisma, ha 'e vaicha pe tipo.	Haʼe ndahaʼéi ni michĩmi espíritu reheguáva.	contradiction	grn
Sleyman el magnífico, 25 ary orekóva, ojupi trono-pe ha oisãmbyhy 46 ary (1520 1566), reinado ipukuvéva ha herakuãvéva umi otomano rembiasápe.	Sleyman el magnífico ojupi trono-pe imitãrusúpe ha omano mbohapy ary rire.	contradiction	grn
Peteî crónica plausible, oñembojehe'áva mitología ndive, oñepyrû oguahêvo umi escriba coreano corte japonesa-pe ary 400 jave, upérõ Japón oreko avei peteî punto de apoyo militar Corea del Sur-pe.	Umi escriba coreano oguahê corte japonesa-pe ary 600 jave	contradiction	grn
Ko óga oñemyatyrõma ha ha'e techapyrã porã arquitectura-pe guarã.	Ko óga opyta tesaráipe ko'ágã peve ha ndojejapói mba'eve oñemyatyrõ haguã.	contradiction	grn
Ajaposevéta koʼã mbaʼe umi tembiapo ogapypegua rangue.	Ajaposeve umi tembiapo ogapypegua	contradiction	grn
O, jepénte upéicha, ojapóne, ha 'érire peteî reaccionario de raza, peteî reaccionario reaccionario.	Che ha 'érire chef, ajapo vaerãmo 'ã upéva.	contradiction	grn
Nañakañýi va 'erã.	Ñamokañyva 'erã chupekuéra.	contradiction	grn
Oiméne terapéutico ko'ã mokõi guerrillero slate oipyhývo tiempo investigación orekóva presupuesto de la casa o travelgate omohenda haguã pensamiento orekóva hendaitépe universo-pe.	Iporâvéva ko'â mokôi guerrillero de eslabón-pe guarâ ha'e toñemoî permanentemente Travelgate-pe ha toñemoî monje-ramo.	contradiction	grn
Jepénte upéicha, presión omboguejývo beneficio térã ojupívo impuesto salarial tuichaiterei.	Ko'ã presión ojupívo impuesto salarial ha omboguejývo beneficio sa'ieterei.	contradiction	grn
Turismo ojapóva incursión, ha umi restaurante oñemoheñóiva orekóva excursionista ára rehe, pero pueblo opytáva impecable.	Turismo ombyai ko táva.	contradiction	grn
ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha	Ñañomongetáta gueteri sapy 'ami, ndajapysakamo 'ãi gueteri.	contradiction	grn
Benjamin Franklin oĩ kuri ore ndive kotype.	Benjamin Franklin oĩ va 'ekue ambue óga guasúpe.	contradiction	grn
Ko'ã ára ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva ohóva	Sa'i oî tapicha administración-pe ha ikatu oje'e mávapa ha'e hikuái	contradiction	grn
Directores de piezas de género violento ha'eháicha craven (oguerekóva concierto principal ojapóva secuelas del grito) o carl franklin o sam raimi sapy'ánte oipotaiterei oî establecimiento hollywood-pe - oho haguã premio de la academia-pe - ha'ekuéra neutral.	Iporâ jahecha umi sambyhyhára ha'eháicha Wes Craven ombotovéva Hollywood ojeruréva.	contradiction	grn
Travolta omotenonde personaje Bill Clinton, ha aravo he 'i ha 'eha peteî retrato creíble presidente, oikéva encanto ha encanto-pe.	Travolta omboheko Ken Starr película-pe.	contradiction	grn
